,table_id,target_column,annotation_id,annotation_label
1944,GitTables_1518,1,http://dbpedia.org/ontology/type,type
1945,GitTables_1524,1,http://dbpedia.org/ontology/type,type
1946,GitTables_1525,2,http://dbpedia.org/ontology/class,class
1947,GitTables_1527,2,http://dbpedia.org/ontology/status,status
1948,GitTables_1529,2,http://dbpedia.org/ontology/class,class
1949,GitTables_1529,14,http://dbpedia.org/ontology/dam,dam
1950,GitTables_1531,1,http://dbpedia.org/ontology/type,type
1951,GitTables_1533,6,http://dbpedia.org/ontology/depth,depth
1952,GitTables_1533,5,http://dbpedia.org/ontology/height,height
1953,GitTables_1533,4,http://dbpedia.org/ontology/width,width
1954,GitTables_1536,2,http://dbpedia.org/ontology/definition,definition
1955,GitTables_1536,0,http://dbpedia.org/ontology/field,field
1956,GitTables_1536,4,http://dbpedia.org/ontology/notes,notes
1957,GitTables_1537,2,http://dbpedia.org/ontology/class,class
1958,GitTables_1537,14,http://dbpedia.org/ontology/dam,dam
1959,GitTables_1538,4,http://dbpedia.org/ontology/class,class
1960,GitTables_1538,0,http://dbpedia.org/ontology/code,code
1961,GitTables_1539,6,http://dbpedia.org/ontology/depth,depth
1962,GitTables_1539,5,http://dbpedia.org/ontology/height,height
1963,GitTables_1539,4,http://dbpedia.org/ontology/width,width
1964,GitTables_1540,0,http://dbpedia.org/ontology/project,project
1965,GitTables_1542,1,http://dbpedia.org/ontology/type,type
1966,GitTables_1543,1,http://dbpedia.org/ontology/technique,technique
1967,GitTables_1544,2,http://dbpedia.org/ontology/class,class
1968,GitTables_1544,5,http://dbpedia.org/ontology/description,description
1969,GitTables_1545,1,http://dbpedia.org/ontology/type,type
1970,GitTables_1546,7,http://dbpedia.org/ontology/length,length
1971,GitTables_1546,2,http://dbpedia.org/ontology/state,state
1972,GitTables_1546,1,http://dbpedia.org/ontology/type,type
1973,GitTables_1546,8,http://dbpedia.org/ontology/width,width
1974,GitTables_1547,2,http://dbpedia.org/ontology/class,class
1975,GitTables_1547,14,http://dbpedia.org/ontology/dam,dam
1976,GitTables_1548,1,http://dbpedia.org/ontology/type,type
1977,GitTables_1550,6,http://dbpedia.org/ontology/author,author
1978,GitTables_1550,10,http://dbpedia.org/ontology/created,created
1979,GitTables_1550,0,http://dbpedia.org/ontology/id,id
1980,GitTables_1550,3,http://dbpedia.org/ontology/parent,parent
1981,GitTables_1550,7,http://dbpedia.org/ontology/title,title
1982,GitTables_1550,1,http://dbpedia.org/ontology/type,type
1983,GitTables_1551,6,http://dbpedia.org/ontology/author,author
1984,GitTables_1551,10,http://dbpedia.org/ontology/created,created
1985,GitTables_1551,0,http://dbpedia.org/ontology/id,id
1986,GitTables_1551,3,http://dbpedia.org/ontology/parent,parent
1987,GitTables_1551,7,http://dbpedia.org/ontology/title,title
1988,GitTables_1551,1,http://dbpedia.org/ontology/type,type
1989,GitTables_1553,2,http://dbpedia.org/ontology/class,class
1990,GitTables_1553,14,http://dbpedia.org/ontology/dam,dam
1991,GitTables_1556,6,http://dbpedia.org/ontology/author,author
1992,GitTables_1556,10,http://dbpedia.org/ontology/created,created
1993,GitTables_1556,0,http://dbpedia.org/ontology/id,id
1994,GitTables_1556,3,http://dbpedia.org/ontology/parent,parent
1995,GitTables_1556,7,http://dbpedia.org/ontology/title,title
1996,GitTables_1556,1,http://dbpedia.org/ontology/type,type
1997,GitTables_1558,1,http://dbpedia.org/ontology/type,type
1998,GitTables_1560,7,http://dbpedia.org/ontology/length,length
1999,GitTables_1560,2,http://dbpedia.org/ontology/state,state
2000,GitTables_1560,1,http://dbpedia.org/ontology/type,type
2001,GitTables_1560,8,http://dbpedia.org/ontology/width,width
2002,GitTables_1561,1,http://dbpedia.org/ontology/type,type
2003,GitTables_1562,2,http://dbpedia.org/ontology/class,class
2004,GitTables_1562,14,http://dbpedia.org/ontology/dam,dam
2005,GitTables_1563,1,http://dbpedia.org/ontology/type,type
2006,GitTables_1566,3,http://dbpedia.org/ontology/classification,classification
2007,GitTables_1566,5,http://dbpedia.org/ontology/title,title
2008,GitTables_1567,39,http://dbpedia.org/ontology/city,city
2009,GitTables_1567,42,http://dbpedia.org/ontology/county,county
2010,GitTables_1567,40,http://dbpedia.org/ontology/postalCode,postal code
2011,GitTables_1567,41,http://dbpedia.org/ontology/state,state
2012,GitTables_1567,6,http://dbpedia.org/ontology/status,status
2013,GitTables_1568,0,http://dbpedia.org/ontology/format,format
2014,GitTables_1568,4,http://dbpedia.org/ontology/temperature,temperature
2015,GitTables_1569,2,http://dbpedia.org/ontology/status,status
2016,GitTables_1570,2,http://dbpedia.org/ontology/class,class
2017,GitTables_1570,14,http://dbpedia.org/ontology/dam,dam
2018,GitTables_1573,7,http://dbpedia.org/ontology/length,length
2019,GitTables_1573,2,http://dbpedia.org/ontology/state,state
2020,GitTables_1573,1,http://dbpedia.org/ontology/type,type
2021,GitTables_1573,8,http://dbpedia.org/ontology/width,width
2022,GitTables_1574,22,http://dbpedia.org/ontology/time,time
2023,GitTables_1574,21,http://dbpedia.org/ontology/volume,volume
2024,GitTables_1577,6,http://dbpedia.org/ontology/author,author
2025,GitTables_1577,10,http://dbpedia.org/ontology/created,created
2026,GitTables_1577,0,http://dbpedia.org/ontology/id,id
2027,GitTables_1577,3,http://dbpedia.org/ontology/parent,parent
2028,GitTables_1577,7,http://dbpedia.org/ontology/title,title
2029,GitTables_1577,1,http://dbpedia.org/ontology/type,type
2030,GitTables_1578,6,http://dbpedia.org/ontology/author,author
2031,GitTables_1578,10,http://dbpedia.org/ontology/created,created
2032,GitTables_1578,0,http://dbpedia.org/ontology/id,id
2033,GitTables_1578,3,http://dbpedia.org/ontology/parent,parent
2034,GitTables_1578,7,http://dbpedia.org/ontology/title,title
2035,GitTables_1578,1,http://dbpedia.org/ontology/type,type
2036,GitTables_1582,6,http://dbpedia.org/ontology/author,author
2037,GitTables_1582,10,http://dbpedia.org/ontology/created,created
2038,GitTables_1582,0,http://dbpedia.org/ontology/id,id
2039,GitTables_1582,3,http://dbpedia.org/ontology/parent,parent
2040,GitTables_1582,7,http://dbpedia.org/ontology/title,title
2041,GitTables_1582,1,http://dbpedia.org/ontology/type,type
2042,GitTables_1585,7,http://dbpedia.org/ontology/length,length
2043,GitTables_1585,2,http://dbpedia.org/ontology/state,state
2044,GitTables_1585,1,http://dbpedia.org/ontology/type,type
2045,GitTables_1585,8,http://dbpedia.org/ontology/width,width
2046,GitTables_1591,22,http://dbpedia.org/ontology/time,time
2047,GitTables_1591,21,http://dbpedia.org/ontology/volume,volume
2048,GitTables_1593,6,http://dbpedia.org/ontology/depth,depth
2049,GitTables_1593,5,http://dbpedia.org/ontology/height,height
2050,GitTables_1593,4,http://dbpedia.org/ontology/width,width
2051,GitTables_1599,6,http://dbpedia.org/ontology/depth,depth
2052,GitTables_1599,5,http://dbpedia.org/ontology/height,height
2053,GitTables_1599,4,http://dbpedia.org/ontology/width,width
2054,GitTables_1603,6,http://dbpedia.org/ontology/author,author
2055,GitTables_1603,10,http://dbpedia.org/ontology/created,created
2056,GitTables_1603,0,http://dbpedia.org/ontology/id,id
2057,GitTables_1603,3,http://dbpedia.org/ontology/parent,parent
2058,GitTables_1603,7,http://dbpedia.org/ontology/title,title
2059,GitTables_1603,1,http://dbpedia.org/ontology/type,type
2060,GitTables_1604,3,http://dbpedia.org/ontology/code,code
2061,GitTables_1604,5,http://dbpedia.org/ontology/location,location
2062,GitTables_1604,4,http://dbpedia.org/ontology/range,range
2063,GitTables_1604,1,http://dbpedia.org/ontology/type,type
2064,GitTables_1604,6,http://dbpedia.org/ontology/value,value
2065,GitTables_1607,17,http://dbpedia.org/ontology/code,code
2066,GitTables_1607,2,http://dbpedia.org/ontology/gender,gender
2067,GitTables_1607,1,http://dbpedia.org/ontology/id,id
2068,GitTables_1607,6,http://dbpedia.org/ontology/school,school
2069,GitTables_1607,13,http://dbpedia.org/ontology/sentence,sentence
2070,GitTables_1607,29,http://dbpedia.org/ontology/series,series
2071,GitTables_1608,2,http://dbpedia.org/ontology/class,class
2072,GitTables_1608,14,http://dbpedia.org/ontology/dam,dam
2073,GitTables_1610,6,http://dbpedia.org/ontology/depth,depth
2074,GitTables_1610,5,http://dbpedia.org/ontology/height,height
2075,GitTables_1610,4,http://dbpedia.org/ontology/width,width
2076,GitTables_1611,2,http://dbpedia.org/ontology/class,class
2077,GitTables_1612,3,http://dbpedia.org/ontology/field,field
2078,GitTables_1613,7,http://dbpedia.org/ontology/length,length
2079,GitTables_1613,2,http://dbpedia.org/ontology/state,state
2080,GitTables_1613,1,http://dbpedia.org/ontology/type,type
2081,GitTables_1613,8,http://dbpedia.org/ontology/width,width
2082,GitTables_1614,1,http://dbpedia.org/ontology/type,type
2083,GitTables_1617,2,http://dbpedia.org/ontology/status,status
2084,GitTables_1619,6,http://dbpedia.org/ontology/author,author
2085,GitTables_1619,10,http://dbpedia.org/ontology/created,created
2086,GitTables_1619,0,http://dbpedia.org/ontology/id,id
2087,GitTables_1619,3,http://dbpedia.org/ontology/parent,parent
2088,GitTables_1619,7,http://dbpedia.org/ontology/title,title
2089,GitTables_1619,1,http://dbpedia.org/ontology/type,type
2090,GitTables_1626,2,http://dbpedia.org/ontology/class,class
2091,GitTables_1626,14,http://dbpedia.org/ontology/dam,dam
2092,GitTables_1629,2,http://dbpedia.org/ontology/class,class
2093,GitTables_1630,1,http://dbpedia.org/ontology/type,type
2094,GitTables_1635,1,http://dbpedia.org/ontology/type,type
2095,GitTables_1636,2,http://dbpedia.org/ontology/component,component
2096,GitTables_1636,1,http://dbpedia.org/ontology/product,product
2097,GitTables_1636,5,http://dbpedia.org/ontology/resolution,resolution
2098,GitTables_1636,4,http://dbpedia.org/ontology/status,status
2099,GitTables_1637,6,http://dbpedia.org/ontology/author,author
2100,GitTables_1637,10,http://dbpedia.org/ontology/created,created
2101,GitTables_1637,0,http://dbpedia.org/ontology/id,id
2102,GitTables_1637,3,http://dbpedia.org/ontology/parent,parent
2103,GitTables_1637,7,http://dbpedia.org/ontology/title,title
2104,GitTables_1637,1,http://dbpedia.org/ontology/type,type
2105,GitTables_1639,1,http://dbpedia.org/ontology/type,type
2106,GitTables_1640,2,http://dbpedia.org/ontology/class,class
2107,GitTables_1640,14,http://dbpedia.org/ontology/dam,dam
2108,GitTables_1644,1,http://dbpedia.org/ontology/speaker,speaker
2109,GitTables_1648,6,http://dbpedia.org/ontology/author,author
2110,GitTables_1648,10,http://dbpedia.org/ontology/created,created
2111,GitTables_1648,0,http://dbpedia.org/ontology/id,id
2112,GitTables_1648,3,http://dbpedia.org/ontology/parent,parent
2113,GitTables_1648,7,http://dbpedia.org/ontology/title,title
2114,GitTables_1648,1,http://dbpedia.org/ontology/type,type
2115,GitTables_1649,2,http://dbpedia.org/ontology/class,class
2116,GitTables_1649,14,http://dbpedia.org/ontology/dam,dam
2117,GitTables_1650,6,http://dbpedia.org/ontology/author,author
2118,GitTables_1650,10,http://dbpedia.org/ontology/created,created
2119,GitTables_1650,0,http://dbpedia.org/ontology/id,id
2120,GitTables_1650,3,http://dbpedia.org/ontology/parent,parent
2121,GitTables_1650,7,http://dbpedia.org/ontology/title,title
2122,GitTables_1650,1,http://dbpedia.org/ontology/type,type
2123,GitTables_1651,1,http://dbpedia.org/ontology/type,type
2124,GitTables_1656,2,http://dbpedia.org/ontology/class,class
2125,GitTables_1656,5,http://dbpedia.org/ontology/description,description
2126,GitTables_1662,2,http://dbpedia.org/ontology/class,class
2127,GitTables_1662,5,http://dbpedia.org/ontology/description,description
2128,GitTables_1665,1,http://dbpedia.org/ontology/type,type
2129,GitTables_1666,1,http://dbpedia.org/ontology/project,project
2130,GitTables_1667,2,http://dbpedia.org/ontology/class,class
2131,GitTables_1670,1,http://dbpedia.org/ontology/type,type
2132,GitTables_1672,2,http://dbpedia.org/ontology/class,class
2133,GitTables_1672,5,http://dbpedia.org/ontology/description,description
2134,GitTables_1673,6,http://dbpedia.org/ontology/author,author
2135,GitTables_1673,10,http://dbpedia.org/ontology/created,created
2136,GitTables_1673,0,http://dbpedia.org/ontology/id,id
2137,GitTables_1673,3,http://dbpedia.org/ontology/parent,parent
2138,GitTables_1673,7,http://dbpedia.org/ontology/title,title
2139,GitTables_1673,1,http://dbpedia.org/ontology/type,type
2140,GitTables_1678,6,http://dbpedia.org/ontology/depth,depth
2141,GitTables_1678,5,http://dbpedia.org/ontology/height,height
2142,GitTables_1678,4,http://dbpedia.org/ontology/width,width
2143,GitTables_1680,2,http://dbpedia.org/ontology/class,class
2144,GitTables_1680,14,http://dbpedia.org/ontology/dam,dam
2145,GitTables_1681,6,http://dbpedia.org/ontology/author,author
2146,GitTables_1681,10,http://dbpedia.org/ontology/created,created
2147,GitTables_1681,0,http://dbpedia.org/ontology/id,id
2148,GitTables_1681,3,http://dbpedia.org/ontology/parent,parent
2149,GitTables_1681,7,http://dbpedia.org/ontology/title,title
2150,GitTables_1681,1,http://dbpedia.org/ontology/type,type
2151,GitTables_1683,2,http://dbpedia.org/ontology/class,class
2152,GitTables_1685,6,http://dbpedia.org/ontology/author,author
2153,GitTables_1685,10,http://dbpedia.org/ontology/created,created
2154,GitTables_1685,0,http://dbpedia.org/ontology/id,id
2155,GitTables_1685,3,http://dbpedia.org/ontology/parent,parent
2156,GitTables_1685,7,http://dbpedia.org/ontology/title,title
2157,GitTables_1685,1,http://dbpedia.org/ontology/type,type
2158,GitTables_1686,1,http://dbpedia.org/ontology/project,project
2159,GitTables_1688,2,http://dbpedia.org/ontology/class,class
2160,GitTables_1688,5,http://dbpedia.org/ontology/description,description
2161,GitTables_1689,6,http://dbpedia.org/ontology/author,author
2162,GitTables_1689,10,http://dbpedia.org/ontology/created,created
2163,GitTables_1689,0,http://dbpedia.org/ontology/id,id
2164,GitTables_1689,3,http://dbpedia.org/ontology/parent,parent
2165,GitTables_1689,7,http://dbpedia.org/ontology/title,title
2166,GitTables_1689,1,http://dbpedia.org/ontology/type,type
2167,GitTables_1693,6,http://dbpedia.org/ontology/author,author
2168,GitTables_1693,10,http://dbpedia.org/ontology/created,created
2169,GitTables_1693,0,http://dbpedia.org/ontology/id,id
2170,GitTables_1693,3,http://dbpedia.org/ontology/parent,parent
2171,GitTables_1693,7,http://dbpedia.org/ontology/title,title
2172,GitTables_1693,1,http://dbpedia.org/ontology/type,type
2173,GitTables_1694,2,http://dbpedia.org/ontology/class,class
2174,GitTables_1694,14,http://dbpedia.org/ontology/dam,dam
2175,GitTables_1698,2,http://dbpedia.org/ontology/class,class
2176,GitTables_1698,14,http://dbpedia.org/ontology/dam,dam
2177,GitTables_1699,0,http://dbpedia.org/ontology/format,format
2178,GitTables_1701,1,http://dbpedia.org/ontology/type,type
2179,GitTables_1702,22,http://dbpedia.org/ontology/time,time
2180,GitTables_1702,21,http://dbpedia.org/ontology/volume,volume
2181,GitTables_1704,1,http://dbpedia.org/ontology/type,type
2182,GitTables_1706,2,http://dbpedia.org/ontology/description,description
2183,GitTables_1706,6,http://dbpedia.org/ontology/reference,reference
2184,GitTables_1708,8,http://dbpedia.org/ontology/note,note
2185,GitTables_1708,4,http://dbpedia.org/ontology/type,type
2186,GitTables_1709,1,http://dbpedia.org/ontology/type,type
2187,GitTables_1710,1,http://dbpedia.org/ontology/project,project
2188,GitTables_1711,6,http://dbpedia.org/ontology/author,author
2189,GitTables_1711,10,http://dbpedia.org/ontology/created,created
2190,GitTables_1711,0,http://dbpedia.org/ontology/id,id
2191,GitTables_1711,3,http://dbpedia.org/ontology/parent,parent
2192,GitTables_1711,7,http://dbpedia.org/ontology/title,title
2193,GitTables_1711,1,http://dbpedia.org/ontology/type,type
2194,GitTables_1715,6,http://dbpedia.org/ontology/author,author
2195,GitTables_1715,10,http://dbpedia.org/ontology/created,created
2196,GitTables_1715,0,http://dbpedia.org/ontology/id,id
2197,GitTables_1715,3,http://dbpedia.org/ontology/parent,parent
2198,GitTables_1715,7,http://dbpedia.org/ontology/title,title
2199,GitTables_1715,1,http://dbpedia.org/ontology/type,type
2200,GitTables_1719,0,http://dbpedia.org/ontology/project,project
2201,GitTables_1726,2,http://dbpedia.org/ontology/class,class
2202,GitTables_1726,14,http://dbpedia.org/ontology/dam,dam
2203,GitTables_1730,22,http://dbpedia.org/ontology/time,time
2204,GitTables_1730,21,http://dbpedia.org/ontology/volume,volume
2205,GitTables_1733,8,http://dbpedia.org/ontology/producer,producer
2206,GitTables_1733,7,http://dbpedia.org/ontology/product,product
2207,GitTables_1735,0,http://dbpedia.org/ontology/format,format
2208,GitTables_1737,7,http://dbpedia.org/ontology/length,length
2209,GitTables_1737,2,http://dbpedia.org/ontology/state,state
2210,GitTables_1737,1,http://dbpedia.org/ontology/type,type
2211,GitTables_1737,8,http://dbpedia.org/ontology/width,width
2212,GitTables_1738,0,http://dbpedia.org/ontology/project,project
2213,GitTables_1740,6,http://dbpedia.org/ontology/author,author
2214,GitTables_1740,10,http://dbpedia.org/ontology/created,created
2215,GitTables_1740,0,http://dbpedia.org/ontology/id,id
2216,GitTables_1740,3,http://dbpedia.org/ontology/parent,parent
2217,GitTables_1740,7,http://dbpedia.org/ontology/title,title
2218,GitTables_1740,1,http://dbpedia.org/ontology/type,type
2219,GitTables_1741,7,http://dbpedia.org/ontology/length,length
2220,GitTables_1741,2,http://dbpedia.org/ontology/state,state
2221,GitTables_1741,1,http://dbpedia.org/ontology/type,type
2222,GitTables_1741,8,http://dbpedia.org/ontology/width,width
2223,GitTables_1744,1,http://dbpedia.org/ontology/project,project
2224,GitTables_1745,6,http://dbpedia.org/ontology/depth,depth
2225,GitTables_1745,5,http://dbpedia.org/ontology/height,height
2226,GitTables_1745,4,http://dbpedia.org/ontology/width,width
2227,GitTables_1747,5,http://dbpedia.org/ontology/category,category
2228,GitTables_1747,17,http://dbpedia.org/ontology/company,company
2229,GitTables_1747,6,http://dbpedia.org/ontology/manufacturer,manufacturer
2230,GitTables_1747,19,http://dbpedia.org/ontology/notes,notes
2231,GitTables_1748,6,http://dbpedia.org/ontology/author,author
2232,GitTables_1748,10,http://dbpedia.org/ontology/created,created
2233,GitTables_1748,0,http://dbpedia.org/ontology/id,id
2234,GitTables_1748,3,http://dbpedia.org/ontology/parent,parent
2235,GitTables_1748,7,http://dbpedia.org/ontology/title,title
2236,GitTables_1748,1,http://dbpedia.org/ontology/type,type
2237,GitTables_1749,0,http://dbpedia.org/ontology/project,project
2238,GitTables_1750,6,http://dbpedia.org/ontology/author,author
2239,GitTables_1750,10,http://dbpedia.org/ontology/created,created
2240,GitTables_1750,0,http://dbpedia.org/ontology/id,id
2241,GitTables_1750,3,http://dbpedia.org/ontology/parent,parent
2242,GitTables_1750,7,http://dbpedia.org/ontology/title,title
2243,GitTables_1750,1,http://dbpedia.org/ontology/type,type
2244,GitTables_1752,22,http://dbpedia.org/ontology/time,time
2245,GitTables_1752,21,http://dbpedia.org/ontology/volume,volume
2246,GitTables_1755,3,http://dbpedia.org/ontology/city,city
2247,GitTables_1755,4,http://dbpedia.org/ontology/country,country
2248,GitTables_1755,5,http://dbpedia.org/ontology/created,created
2249,GitTables_1755,6,http://dbpedia.org/ontology/description,description
2250,GitTables_1755,13,http://dbpedia.org/ontology/id,id
2251,GitTables_1755,19,http://dbpedia.org/ontology/name,name
2252,GitTables_1755,28,http://dbpedia.org/ontology/rating,rating
2253,GitTables_1755,32,http://dbpedia.org/ontology/utcOffset,utc offset
2254,GitTables_1757,6,http://dbpedia.org/ontology/author,author
2255,GitTables_1757,10,http://dbpedia.org/ontology/created,created
2256,GitTables_1757,0,http://dbpedia.org/ontology/id,id
2257,GitTables_1757,3,http://dbpedia.org/ontology/parent,parent
2258,GitTables_1757,7,http://dbpedia.org/ontology/title,title
2259,GitTables_1757,1,http://dbpedia.org/ontology/type,type
2260,GitTables_1759,6,http://dbpedia.org/ontology/author,author
2261,GitTables_1759,10,http://dbpedia.org/ontology/created,created
2262,GitTables_1759,0,http://dbpedia.org/ontology/id,id
2263,GitTables_1759,3,http://dbpedia.org/ontology/parent,parent
2264,GitTables_1759,7,http://dbpedia.org/ontology/title,title
2265,GitTables_1759,1,http://dbpedia.org/ontology/type,type
2266,GitTables_1761,2,http://dbpedia.org/ontology/status,status
2267,GitTables_1764,0,http://dbpedia.org/ontology/id,id
2268,GitTables_1764,1,http://dbpedia.org/ontology/name,name
2269,GitTables_1765,6,http://dbpedia.org/ontology/author,author
2270,GitTables_1765,10,http://dbpedia.org/ontology/created,created
2271,GitTables_1765,0,http://dbpedia.org/ontology/id,id
2272,GitTables_1765,3,http://dbpedia.org/ontology/parent,parent
2273,GitTables_1765,7,http://dbpedia.org/ontology/title,title
2274,GitTables_1765,1,http://dbpedia.org/ontology/type,type
2275,GitTables_1766,2,http://dbpedia.org/ontology/abstract,abstract
2276,GitTables_1766,13,http://dbpedia.org/ontology/focus,focus
2277,GitTables_1766,1,http://dbpedia.org/ontology/title,title
2278,GitTables_1766,21,http://dbpedia.org/ontology/volume,volume
2279,GitTables_1768,8,http://dbpedia.org/ontology/duration,duration
2280,GitTables_1768,12,http://dbpedia.org/ontology/language,language
2281,GitTables_1768,14,http://dbpedia.org/ontology/type,type
2282,GitTables_1769,2,http://dbpedia.org/ontology/class,class
2283,GitTables_1769,14,http://dbpedia.org/ontology/dam,dam
2284,GitTables_1770,1,http://dbpedia.org/ontology/type,type
2285,GitTables_1771,6,http://dbpedia.org/ontology/author,author
2286,GitTables_1771,10,http://dbpedia.org/ontology/created,created
2287,GitTables_1771,0,http://dbpedia.org/ontology/id,id
2288,GitTables_1771,3,http://dbpedia.org/ontology/parent,parent
2289,GitTables_1771,7,http://dbpedia.org/ontology/title,title
2290,GitTables_1771,1,http://dbpedia.org/ontology/type,type
2291,GitTables_1774,2,http://dbpedia.org/ontology/class,class
2292,GitTables_1774,5,http://dbpedia.org/ontology/description,description
2293,GitTables_1775,0,http://dbpedia.org/ontology/name,name
2294,GitTables_1776,1,http://dbpedia.org/ontology/type,type
2295,GitTables_1777,2,http://dbpedia.org/ontology/class,class
2296,GitTables_1777,5,http://dbpedia.org/ontology/description,description
2297,GitTables_1780,1,http://dbpedia.org/ontology/project,project
2298,GitTables_1781,2,http://dbpedia.org/ontology/status,status
2299,GitTables_1782,2,http://dbpedia.org/ontology/class,class
2300,GitTables_1782,5,http://dbpedia.org/ontology/description,description
2301,GitTables_1783,0,http://dbpedia.org/ontology/name,name
2302,GitTables_1784,0,http://dbpedia.org/ontology/project,project
2303,GitTables_1785,2,http://dbpedia.org/ontology/category,category
2304,GitTables_1785,3,http://dbpedia.org/ontology/id,id
2305,GitTables_1785,0,http://dbpedia.org/ontology/name,name
2306,GitTables_1786,7,http://dbpedia.org/ontology/length,length
2307,GitTables_1786,2,http://dbpedia.org/ontology/state,state
2308,GitTables_1786,1,http://dbpedia.org/ontology/type,type
2309,GitTables_1786,8,http://dbpedia.org/ontology/width,width
2310,GitTables_1788,6,http://dbpedia.org/ontology/author,author
2311,GitTables_1788,10,http://dbpedia.org/ontology/created,created
2312,GitTables_1788,0,http://dbpedia.org/ontology/id,id
2313,GitTables_1788,3,http://dbpedia.org/ontology/parent,parent
2314,GitTables_1788,7,http://dbpedia.org/ontology/title,title
2315,GitTables_1788,1,http://dbpedia.org/ontology/type,type
2316,GitTables_1794,2,http://dbpedia.org/ontology/class,class
2317,GitTables_1799,6,http://dbpedia.org/ontology/author,author
2318,GitTables_1799,10,http://dbpedia.org/ontology/created,created
2319,GitTables_1799,0,http://dbpedia.org/ontology/id,id
2320,GitTables_1799,3,http://dbpedia.org/ontology/parent,parent
2321,GitTables_1799,7,http://dbpedia.org/ontology/title,title
2322,GitTables_1799,1,http://dbpedia.org/ontology/type,type
2323,GitTables_1800,2,http://dbpedia.org/ontology/class,class
2324,GitTables_1800,5,http://dbpedia.org/ontology/description,description
2325,GitTables_1802,6,http://dbpedia.org/ontology/depth,depth
2326,GitTables_1802,5,http://dbpedia.org/ontology/height,height
2327,GitTables_1802,4,http://dbpedia.org/ontology/width,width
2328,GitTables_1803,6,http://dbpedia.org/ontology/author,author
2329,GitTables_1803,10,http://dbpedia.org/ontology/created,created
2330,GitTables_1803,0,http://dbpedia.org/ontology/id,id
2331,GitTables_1803,3,http://dbpedia.org/ontology/parent,parent
2332,GitTables_1803,7,http://dbpedia.org/ontology/title,title
2333,GitTables_1803,1,http://dbpedia.org/ontology/type,type
2334,GitTables_1804,6,http://dbpedia.org/ontology/author,author
2335,GitTables_1804,10,http://dbpedia.org/ontology/created,created
2336,GitTables_1804,0,http://dbpedia.org/ontology/id,id
2337,GitTables_1804,3,http://dbpedia.org/ontology/parent,parent
2338,GitTables_1804,7,http://dbpedia.org/ontology/title,title
2339,GitTables_1804,1,http://dbpedia.org/ontology/type,type
2340,GitTables_1807,1,http://dbpedia.org/ontology/type,type
2341,GitTables_1808,7,http://dbpedia.org/ontology/length,length
2342,GitTables_1808,2,http://dbpedia.org/ontology/state,state
2343,GitTables_1808,1,http://dbpedia.org/ontology/type,type
2344,GitTables_1808,8,http://dbpedia.org/ontology/width,width
2345,GitTables_1809,2,http://dbpedia.org/ontology/class,class
2346,GitTables_1816,6,http://dbpedia.org/ontology/depth,depth
2347,GitTables_1816,5,http://dbpedia.org/ontology/height,height
