fileName,colName,vals,fine_grained_label
SOTAB_113.csv,4,"-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -",#NAME?
SOTAB_113.csv,8,"-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -",#NAME?
SOTAB_181.csv,1,,#NAME?
SOTAB_181.csv,3,,#NAME?
SOTAB_62.csv,1,,#NAME?
SOTAB_113.csv,alternativeHeadline,"-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -",alternativeHeadline
SOTAB_165.csv,alternativeHeadline,"Blocking and Tackling Your Way to the Top, and on with Life, Sex, and Relationships, Simple, Powerful Techniques for Managing Anger and Saving Relationships, Top Tools for Succeeding as a School Counselor, A Girl's Guide for You and Your Mom about Health, Sex, or Whatever, Recognizing, Managing, and Preventing Sexual Harassment in the Workplace, Simple, Effective Skills That Will Guarantee You the Edge in Any Negotiation, A Girl's Guide for You and Your Mom about Health, Sex, or Whatever, Simple, Powerful Techniques for Managing Anger and Saving Relationships, Fun & Fast Activities for You and Your Little Ones, for the Anger Busting Workbook, for Children and Their Parents, and on with Life, Sex, and Relationships, Fun & Fast Activities for You and Your Little Ones, Simple, Effective Skills That Will Guarantee You the Edge in Any Negotiation, Recognizing, Managing, and Preventing Sexual Harassment in the Workplace",alternativeHeadline
SOTAB_101.csv,author,"Albert Flynn Desilver, The Nonexistent Press, Bob Stanley, Stephanie Young, Albert Flynn Desilver, Albert Flynn Desilver, Albert Flynn Desilver, Albert Flynn Desilver, Morley Clark, Jennifer Firestone, Tamsin Smith, Albert Flynn Desilver, Albert Flynn Desilver, Albert Flynn Desilver, Albert Flynn Desilver",author_Book
SOTAB_106.csv,author,"Scanlon-Gambill, Charlotte, School, US Army Infantry, Brown, Warner, Symons, Martyn, nan, Gable, John E., Parke-Bernet Galleries, Kaldor, Nicholas, nan, Fagan, Sarah M. B., nan, MARTINEZ ESTRADA, Ezequiel, Lewis, John, Hesler, L. R., Joseph Conrad, Rice, Bob, nan, MITCHELL, S. Weir, Smit, W.A.P., Melki, Jim A, Lorraine Farrelly, Watts, Alan, Horse Guards, Adjutant-General's Office, Nabokov, Vladimir, Wright, Christopher, Soheila Hajibigli, Meer, Ron van der & Deyan Sudjic, nan, nan, James Bate, Dalipi, Arb?resh, Methodist Episcopal Church, Shearman, Arthur T., nan, Insight Guides, Kambiz Sheikholeslami, No Author Stated, cumulus, edition, ExamREVIEW, Szilvasi, Mihai, BIAN JI BU, Jerrard Tickell, Hansard, Christopher, Anonymous, AMC, brid, Connolly, John, nan, Meglitsch, Paul A., nan",author_Book
SOTAB_118.csv,6,"nan, nan, nan, nan, J. Chr. Gundersen Boktrykkeri,, Jacopo Guiducci,, nan, nan, Verlegts Christ. Gottl. Nicolai,, nan, nan, nan, Author,, nan, Hoepli,, nan, nan, Harman Kranepoe,, William and John Leake,, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, L. Salvius,, nan, nan, nan, Author,, nan, nan, Zbl. med. Wiss., nan, nan, nan, nan, nan, nan, Printed for F.C. and J. Rivington [etc.],, nan, L. Boehmer & Co.,, Typis Ballantianis,, nan, nan, nan",author_Book
SOTAB_118.csv,author,"BOCCONE, PAOLO, PLANCK, MAX, VARIGNON PIERRE; PUJOL, ABBé, ['sic', 'CADWALLADER EVANS', 'EVANS, CADWALLADER (sic).'], ['OWREN, PAUL.', 'PAUL OWREN'], ['EVANGELISTA TORRICELLI', 'TORRICELLI, EVANGELISTA'], LOVELL, ROBERT, SCHEUCHZER, JOHANN JACOB, ['JOHANN L. FRISCH', 'FRISCH, JOHANN L.'], BOWERS, CLEMENT GRAY [PLANT BREEDING - MASTERS THESIS], ['[ORIANI, BARNABA]', 'BARNABA ORIANI'], LA CéPèDE, B.G. E, ['RéGNY, ARTHéMOND [de].', 'de', 'ARTHéMOND RéGNY'], MODESTO, A. R. P. A MTE, ['CAMILLO GOLGI', 'GOLGI, CAMILLO'], BROOKE, HENRY, WATTS, ISAAC, ['AMBROISE', 'PARE', 'PARE (AMBROISE).'], ['PLATT (SIR HUGH).', 'PLATT', 'SIR HUGH'], WORLIDGE, JOHN, WILLIAMS, BUTLER, MASON, WILLIAM, SOPHIA MASON, H.B. STEINHAUER AND JOHN SINCLAIR, RIGGS, STEPHEN R., ['MAURICE KRAITCHIK', 'KRAITCHIK, MAURICE'], HUMPHREYS, F, HOGG, JABEZ, LEEUWENHOEK, ANTONI VAN, Quekett, JOHN, SNELL, JAMES, ['LINNAEUS, C.', 'C. LINNAEUS'], PASTEUR, LOUIS, JEAN-PIERRE, SéBASTIEN, BRADLEY (RICHARD), ['MARIE PONSON', 'PONSON, MARIE'], AMBROSINI, GIACINTO & LORENZO TINTI, LEE, JAMES, [CARL VON LINNé], ['BIZZOZERO, GIULIO.', 'GIULIO BIZZOZERO'], GANNERON, HALLER, ALBRECHT VON; HEINRICH AUGUST WRISBERG; SAMUEL THOMAS VON SOEMMERRING; PHILIPP FRIEDRICH THEODOR MECKEL, PARE (AMBROISE)., WELPER, EBERHARD; JOHANN CHRISTOPH STURM, WILSON, HENRY & HUME, WILLIAM, FRISCH, JOHANN L., ['CARL VON LINNé', 'JAMES LEE', 'LEE, JAMES, [CARL VON LINNé]'], SMITH, ROBERT, ['CO', 'BOEHMER, L. & CO.', 'L. BOEHMER'], ['BATTARRA, GIOVANNI ANTONIO', 'GIOVANNI ANTONIO BATTARRA'], SCOTT, ROBERT, LINDLEY, JOHN, PANSERON, PIERRE",author_Book
SOTAB_131.csv,author,"Andrew Lang, Ernst Cassirer, Andrew P. Lyons, Carol A. Smith (editor), Duane Quiatt, David Birnbaum, Aurobindo Sarkar, George Pratt, Barbara Cable Taylor, Bennard B. Perlman, Peter L. Bernstein, Laura C. Ford, High Museum Of Art, Doug Lemov, A. E. Hartink, et.al. Harvey A. Donaldson Townsend Whelen, Arthur Conan Doyle, Batton Lash, E. Paul Torrance, James Bamford, Bill Pronzini, Cay Horstmann, Cay Horstmann, Bert Kinzey, ['David Stratton Stephen', 'Hodgson', 'David Stratton Stephen; Hodgson'], Andrew Crumey, Jane Van Galen, Hal Higdon, CBE, DSc, FRAS, Sir Patrick Moore, Joe Sacco, Terrance G. Kardong OSB, Keith Hartman, Carle Vernet, Andrew Feenberg, Stephen J. Davis, Adrian Mouat, Alex Holmes, ['Richard Harrison', 'Richard Martin', 'Richard (Richard Harrison) Martin'], Marshall B. Rosenberg, Walt Disney Studio. Adapted By Dick Kelsey, Anthony F.C. Wallace, Serge Sabarsky, Alfred Lor Tennyson, Stella Pickett Hardy, Unstated, ['Ambroise; edited by Geoffrey Keynes Pare', 'Ambroise', 'Geoffrey Keynes Pare'], ['Nancy L. Eiesland (Editor)', 'Nancy L. Eiesland'], A. M. Fairweather, Abram Kanof, Al-Haj Maulana",author_Book
SOTAB_139.csv,author,"CAMBRIDGE, MORILLO DíEZ,GONZALO, AA.VV, PUCHTA, HERBERT / STRANKS, JEFF / GERNGROSS, GüNTER / HOLZMANN, CHRISTIAN / LEWIS-JONES, PETER, AA.VV, AA.VV, LEVY, MEREDITH, MUSCARSEL,M.C., RIOS CASTA?O, VICTORIA, MAYHEW, BRADLEY / ELLIOTT, MARK / NOBLE, JOHN / MASTERS, TOM, PUCHTA, HERBERT / STRANKS, JEFF / GERNGROSS, GüNTER / HOLZMANN, CHRISTIAN / LEWIS-JONES, PETER, NIXON, CAROLINE / TOMLINSON, MICHAEL, PUCHTA, HERBERT, AA.VV, LACALLE LAMATA, JOAQUIN, AA.VV, WOOD, PHILIP, PUCHTA, HERBERT, CAMBRIDGE, ROBINSON, HANNAH, MONFORT,MARC, AA.VV, MACHADO, MANUEL, BRADSHAW, DAVID / REED, SUSANNAH, HICKS, DIANA / LITTLEJOHN, ANDREW, HADKINS,HELEN / LEWIS,SAMANTHA / BUDDEN,JOANNA, CHAMPAGNE, CHRIS, PUCHTA, HERBERT, AA.VV, PUCHTA, HERBERT / STRANKS, JEFF / LEWIS-JONES, PETER, MUSCARSEL,M.C., AA.VV, PUCHTA, HERBERT / STRANKS, JEFF / GERNGROSS, GüNTER / HOLZMANN, CHRISTIAN / LEWIS-JONES, PETER, LóPEZ, CONCHA / GARCíA, LAURA, WOOD, PHILIP, ANDERSON,VICKI, SAXBY, KAREN, AA.VV, MORA?A, MABEL / GUSTAFSON, BRET, AA.VV, HADKINS,HELEN / LEWIS,SAMANTHA / BUDDEN,JOANNA, NIXON, CAROLINE / TOMLINSON, MICHAEL, NIXON, CAROLINE, PUCHTA, HERBERT / STRANKS, JEFF / LEWIS-JONES, PETER, LOCHOWSKY, TESSA, AA.VV, CUMBERLIDGE, P., CUSTODIO, MAGDALENA, CAMBRIDGE, RIUS",author_Book
SOTAB_151.csv,author,"Osterwalder Markus, Kipling Rudyard, ['Bahn Paul', 'Fagan Brian'], Vince Gaia, Jankowicz Nina, Rodrigues Chris, Harman Oren, kolektív autorov, Marshall Tim, kolektív autorov, kolektív autorov, ['Higgins Nick', 'Andrews Jorella'], Shafak Elif, Growe Bernd, Drew Liam, Kleon Austin, Shipley Lucy, Fagan Brian, Schilling Govert, Herbert Frank, Phillips Tom, Rid Thomas, Prum Richard O., King Brett, Chaubin Frédéric, kolektív autorov, ['Durth Werner', 'Pehnt Wolfgang'], Zachar Podolinská Tatiana, Benton Michael J., Maeda John, Gosden Chris, Worley Matthew, Lancy David F., ['Keizer Joost M.', 'Christoforou Christina'], Hancocks Helen, Nassar Raduan, Rock Mick, Ryan Frank, Kelly Scott, Taha Lilas, Gallo Carmine, Crane Milton (ed.), John Vladimír, Adichie Chimamanda Ngozi, Shubin Neil, Thorn Tracey, Kessels Erik, Alexievich Svetlana, Craig-Martin Michael, Baker Lisa",author_Book
SOTAB_155.csv,author,"none, Maria Augusta Trapp, Micah Corum, Editor Blake Hobby Harold Bloom, Sherrilyn Kenyon, Wallace Wood, none, J. Pauwels, Emma Forrest, Siri Hustvedt, nan, Arthur Schopenhauer, none, Pankaj Mishra, Bobbie Kalman, Molly Aloian, André Preumont, Rob Lloyd Jones, none, Yousuke Kaneda, none, none, George R. R. Martin, Hajime Isayama, none, none, Ernest Keen, none, none, Chika Shiomi, Steven Tyler, David Dalton, none, Elisabeth Helland Larsen, Marine Schneider, Benedetto Croce, K. Martens, Lj Koffeman, P. Coertzen, none, none, Birgitta Hosea, Victoria, Mitsuhisa Tamura, Kazuhiro Fujita, Masami Kurumada, Richard Kadrey, Shirley McKay, none, Will Self, Oh!great, none, Caprin Giulio, Adriaan Van Der the Elder Willigen, Copenhagen (Denmark Kunstindustrimuseum, Anne Youngson",author_Book
SOTAB_17.csv,author,"['Ackerman, Robert E.', 'Robert E. Ackerman'], Austin, John Osborne; Austin, John Osborne (additions and corrections); Moriarty, G. Andrews (additions and corrections); Klyberg, Albert T. (foreword), Bridgman, Thomas (transcribed by), Brock, R. A. (Edited and Compiled for the Virginia Historical Society), Barrow, G. W. S. (edited by); Scott, W. W. (with the collaboration by), James, T. G. H., Barton, Nicholas, Terrell, W. H. H., ['A. M.', 'M. D.', 'Williamson, Thos., A.M., M.D. (Missionary of the A.B.C.F.M.)', 'Thos Williamson', 'Missionary of the A. B. C. F. M.'], ['Cleveland Indians', '[Cleveland Indians]'], ['author of the Prefatory', 'Purry, Jean Pierre (of Neufchatel, Switzerland); Jones, Charles C. Jr. (author of the Prefatory)', 'Switzerland of Neufchatel', 'Charles C. Jr Jones', 'Jean Pierre Purry'], ['Hauck, Cornelius W. (editor)', 'Cornelius W. Hauck'], Dowsing, James, Eggleston, Edward, ['Samuel W. Baker', 'Baker, Samuel W.'], ['publisher', 'Farnsworth, Oliver (publisher)', 'Oliver Farnsworth'], ['Arcadia Publishing', '[Arcadia Publishing]'], ['Dean & Sons', 'Sons', 'Dean'], ['Comstock, Francis Adams', 'Francis Adams Comstock'], Barnard, Major J. G., Bates, Mrs. D. B., Beehler, W. H. (Lieut. U.S. Navy), ['Will Largent', 'Largent, Will'], ['Cunningham, G. A.', 'G. A. Cunningham'], ['Sarah Morthland', 'Morthland, Sarah (editor)'], ['Mrs. D. B. Bates', 'Bates, Mrs. D. B.'], ['Roy Strong', 'Strong, Roy (Director)', 'Director'], ['Hodson, Helen M.', 'Helen M. Hodson'], ['Lucius Beebe', 'Charles Clegg', 'Beebe, Lucius; Clegg, Charles'], ['Culp, Edwin D.', 'Edwin D. Culp'], Hall, Captain Basil (Royal Navy) (Author of A Voyage to Loo Choo), Hartwig, Dr. G.; Guernsey, Dr. A. H. (edited by with additional chapters), ['Francis Selormey', 'Selormey, Francis'], Pitkin, Timothy, ['Furman Bisher', 'Bisher, Furman'], ['[Cincinnati Historical Society]', 'Cincinnati Historical Society'], ['James, T. G. H.', 'T. G. H. James'], ['Brad Agnew', 'Agnew, Brad'], [Lyttleton, George 1st Baron], [Ontario and St. Lawrence Steamboat Company], Pfeiffer, Ida; Cooper; Osborn, Lieut. Sherard, Abel, Annie Heloise (Ph.D.), Anza, Don Juan Bautista De; Thomas, Alfred Barnaby (translated into English, edited and annotated by), ['Lieut. U. S. Navy', 'W. H. Beehler', 'Beehler, W. H. (Lieut. U.S. Navy)'], ['Alpers, Edward A.', 'Edward A. Alpers'], ['Gen. James S. U. S. A. Brisbin', 'Brisbin, Gen. James S. U.S.A. (editor)'], ['E. Merton Coulter', 'Coulter, E. Merton'], ['Roger S. Bagnall', 'Bagnall, Roger S.'], ['Prohibition', 'Atlanta', '[Anti-Prohibition] [Prohibition] [Temperance] [Atlanta]', 'Anti-Prohibition', 'Temperance'], ['Harriette Wightman Allston', 'Allston, Harriette Wightman']",author_Book
SOTAB_187.csv,author,"MEMON, MUHAMMAD UMAR (EDITOR)., ['????.', '????'], (MINISTRY OF INFORMATION BAHRAIN)., ['HUBRECHT, ALPH.', 'ALPH HUBRECHT'], AMPIAH, KWEKU., [TSUBURAYA,UHEI?]., [MAEDA, TOKUJIRO AND SEIICHIRo FUNAKOSHI]. ?????, ?????., EARL, GEORGE WINDSOR., nan, WANG, CHING-WEI, DE VERE ALLEN, J., NIK AHMAD BIN HAJI NIK HASSAN, PROFESSOR K.G. TREGONNING, & H.E. MSGR. R.M.M. FEE., DE VERE ALLEN, J., NIK AHMAD BIN HAJI NIK HASSAN, PROFESSOR K.G. TREGONNING, & H.E. MSGR. R.M.M. FEE., MBRAS., WINSTEDT, SIR RICHARD, PROFESSOR BRIAN HARRISON, JOHN M. GULLICK, M.W.F. TWEEDIE, PRINCE JOHN LOEWENSTEIN, JOHN BASTIN AND OTHERS., CHARACTER REFORM COMMITTEE OF CHINA. (EDITED BY)., BULLING, A., GARNER, SIR HARRY & LADY GARNER., HERBERT, JEAN., LEGGE, JAMES., ADELAAR, K. ALEXANDER AND ROBERT BLUST (EDITORS)., [BUGINESE LINGUISTICS]., FRANCK, HARRY A., YULE, CAPTAIN HENRY., CARRE, ABBE., FOGEL, JOSHUA A., HUHM, HALLA PAI., ALL BURMA STUDENTS' DEMOCRATIC FRONT., [SONG, LIAN]. ??., WHITTEN, J. ANTHONY; SENGLI J. DAMANI, JAZANUL ANWAR, NAZARUDDIN HISYAM., YOUSOF, GHULAM-SARWAR., DEPARTMENT OF COMMUNICATIONS. ??????., [SEIBU TEISHINKYOKU, (COMPILED BY)]. ???????, ['SUE OGILVIE', 'OGILVIE, SUE (EDITED BY).'], LYONS, KAY., nan, ROBERTS, CLAIRE., [VIETNAMESE LANGUAGE]., [FAN PAINTINGS]., [HE, YAXIAN]. ???., ANDERSON. WANNI W., CHINA RECORD COMPANY. ?????., [NO AUTHOR IN ENGLISH]., áI ??NG; NH?T TU?N; TR?NG T?O NGUY??N., [VIETNAMESE TALES AND LEGENDS]., SHINN, RINN-SUP, ET.AL., CORDIER, HENRI., CUNNINGHAM, ALEXANDER., SOCIETY OF WRITERS, EDITORS AND TRANSLATORS, TOKYO., BILL BOLLOTEN (EDITOR)., DONEGAN, PATRICIA.",author_Book
SOTAB_204.csv,author,"Jennifer Probst, Judith Ryan Hendricks, Val McDermid, Xxx, Agatha Christie, Alex Ferguson, Jeff Lindsay, Qu?nh Dao, Martin Merrill, Qu?nh Dao, Jeffery Deaver, Qu?nh Dao, Laurell K. Hamilton, Sir Arthur Conan Doyle, Xxx, L.M. Montgomery, Jane Austen, Chu Loan Loan, M??ng Mán, Xxx, Xxx, Haruki Murakami, Sarah Maclean, Xxx, James Hadley Chase, Agatha Christie, Tr?n Thu Trang, Linda Howard, Kim Dung, Jules Verne, Paulo Coelho, Edgar Alen Poe, Nguyê?n Kori, Haruki Murakami, Xxx, Xxx, Lorraine Heath, G. K. Chesterton, Xxx, Linda Howard, Louisa May Alcott, Linda Howard, Leil Lowndes, Xxx, Xxx, Lucy Maud Montgomery, Nguyên Phong, Diana Wynne Jones, Dan Brown, Xxx",author_Book
SOTAB_230.csv,author,"Homer William Bedell Stanford W. Stanford, Dave Barry Ridley Pearson, Donita K. Paul, Arthur C. Clarke Gentry Lee, Stephen King, Keri Hulme, Amish Tripathi, Mira Grant, Emily Dickinson Thomas H. Johnson, Allen Raine, Naomi Wolf, David Baldacci, Brandon Mull, Ernesto Che Guevara Aleida Guevara March, Paula McLain, Julia Alvarez, Stephen King Dominique Dill, Heywood Broun, Stephen R. Covey, René Barjavel, Alice Munro, Michelle Zink, Elena Ferrante, Jon McGregor, René Barjavel, Anthony Horowitz, Dave Ramsey, Joseph Heller, Tad Williams, Dayna Lorentz, Rebecca Donovan, Kenneth Branagh Frank Darabont Steph Lady, Spencer W. Kimball, Don DeLillo, William Faulkner, Jodie Pierce, Steven Galloway, Penelope Fitzgerald, Amor Towles, Jeffrey Moore, Bisco Hatori, Raymond Carver, Jessica Clare, Irene Hunt, GabriellaLepore, Stephen King, Kim Stanley Robinson, William Wordsworth, Barbara Taylor Bradford, D.B.C. Pierre",author_Book
