Species_Group,Region,PlotID,BE_PlotID,longitude,latitude,Year,Method,Species_richness,Abundances,Cover,Mean_abundance,conifer_cover,herb_cover
Plants,HAI,HEW35,HEW35,10.41,51.1,2009,mapping,14.0,,133.5,9.54,0.0,19.5
Plants,HAI,HEW36,HEW36,10.41,51.11,2009,mapping,25.0,,175.0,7.0,0.0,46.5
Plants,HAI,HEW9,HEW9,10.38,51.13,2009,mapping,30.0,,221.5,7.38,0.0,116.0
Plants,HAI,HEW4,HEW4,10.53,51.37,2009,mapping,16.0,,160.0,10.0,0.0,22.0
Plants,HAI,HEW40,HEW40,10.5,51.08,2009,mapping,31.0,,231.5,7.47,0.0,25.5
Plants,HAI,HEW41,HEW41,10.46,51.11,2009,mapping,22.0,,127.0,5.77,0.0,13.5
Plants,HAI,HEW42,HEW42,10.46,51.1,2009,mapping,17.0,,105.5,6.21,0.0,7.5
Plants,HAI,HEW43,HEW43,10.36,51.33,2009,mapping,45.0,,191.5,4.26,0.0,63.5
Plants,HAI,HEW44,HEW44,10.37,51.33,2009,mapping,50.0,,201.0,4.02,0.0,78.5
Plants,HAI,HEW45,HEW45,10.26,51.36,2009,mapping,12.0,,138.0,11.5,0.0,5.0
Plants,HAI,HEW46,HEW46,10.48,51.05,2009,mapping,28.0,,171.5,6.12,0.0,33.5
Plants,HAI,HEW47,HEW47,10.38,51.18,2009,mapping,31.0,,205.0,6.61,0.0,97.5
Plants,HAI,HEW48,HEW48,10.39,51.14,2009,mapping,31.0,,175.0,5.65,0.0,47.5
Plants,HAI,HEW49,HEW49,10.38,51.14,2009,mapping,30.0,,192.0,6.4,0.0,48.0
Plants,HAI,HEW5,HEW5,10.24,51.26,2009,mapping,31.0,,191.5,6.18,0.0,70.0
Plants,HAI,HEW50,HEW50,10.46,51.09,2009,mapping,39.0,,160.5,4.12,0.0,26.0
Plants,HAI,HEW6,HEW6,10.24,51.27,2009,mapping,21.0,,198.0,9.43,0.0,63.0
Plants,HAI,HEW7,HEW7,10.39,51.13,2009,mapping,44.0,,209.0,4.75,0.0,68.5
Plants,HAI,HEW8,HEW8,10.52,51.36,2009,mapping,26.0,,194.0,7.46,0.0,17.0
Plants,SCH,SEW1,SEW1,13.85,52.9,2009,mapping,31.0,,178.5,5.76,0.93,50.5
Plants,SCH,SEW10,SEW10,13.64,53.09,2009,mapping,23.0,,76.0,3.3,0.96,9.5
Plants,SCH,SEW11,SEW11,13.63,53.09,2009,mapping,15.0,,81.0,5.4,0.96,15.5
Plants,SCH,SEW12,SEW12,13.7,53.09,2009,mapping,7.0,,75.5,10.79,0.97,10.5
Plants,SCH,SEW13,SEW13,13.86,53.02,2009,mapping,24.0,,121.0,5.04,0.95,42.0
Plants,SCH,SEW14,SEW14,13.75,52.92,2009,mapping,19.0,,97.0,5.11,0.98,32.5
Plants,SCH,SEW15,SEW15,13.74,52.91,2009,mapping,22.0,,76.0,3.45,0.96,7.0
Plants,SCH,SEW16,SEW16,13.86,53.08,2009,mapping,21.0,,160.5,7.64,0.97,73.5
Plants,SCH,SEW17,SEW17,13.83,52.94,2009,mapping,16.0,,176.5,11.03,0.7,62.0
Plants,SCH,SEW18,SEW18,13.92,52.86,2009,mapping,19.0,,209.5,11.03,0.66,41.5
Plants,SCH,SEW19,SEW19,13.64,53.09,2009,mapping,25.0,,132.0,5.28,0.7,30.0
Plants,SCH,SEW2,SEW2,13.78,52.95,2009,mapping,16.0,,87.0,5.44,0.81,9.5
Plants,SCH,SEW20,SEW20,13.64,53.09,2009,mapping,25.0,,134.0,5.36,0.9,69.5
Plants,SCH,SEW21,SEW21,13.74,52.92,2009,mapping,23.0,,193.5,8.41,0.94,86.5
Plants,SCH,SEW22,SEW22,13.91,53.06,2009,mapping,9.0,,89.0,9.89,0.0,3.5
Plants,SCH,SEW23,SEW23,13.78,52.95,2009,mapping,14.0,,113.0,8.07,0.0,6.5
Plants,SCH,SEW24,SEW24,13.97,52.89,2009,mapping,11.0,,129.5,11.77,0.0,12.0
Plants,SCH,SEW25,SEW25,13.76,52.92,2009,mapping,20.0,,122.0,6.1,0.0,10.5
Plants,SCH,SEW26,SEW26,13.75,52.92,2009,mapping,29.0,,134.5,4.64,0.0,74.5
Plants,SCH,SEW27,SEW27,14.0,52.89,2009,mapping,3.0,,128.5,42.83,0.0,0.5
Plants,SCH,SEW28,SEW28,13.66,52.88,2009,mapping,27.0,,237.5,8.8,0.0,91.0
Plants,SCH,SEW29,SEW29,13.86,53.02,2009,mapping,12.0,,120.0,10.0,0.32,2.5
Plants,SCH,SEW3,SEW3,13.64,52.92,2009,mapping,23.0,,171.5,7.46,0.85,39.0
Plants,SCH,SEW30,SEW30,13.92,53.06,2009,mapping,11.0,,115.0,10.45,0.18,3.0
Plants,SCH,SEW31,SEW31,13.9,52.88,2009,mapping,16.0,,101.0,6.31,0.47,8.0
Plants,SCH,SEW32,SEW32,13.93,53.06,2009,mapping,13.0,,146.0,11.23,0.26,3.5
Plants,SCH,SEW33,SEW33,13.89,52.91,2009,mapping,4.0,,106.5,26.62,0.36,1.0
Plants,SCH,SEW34,SEW34,13.85,52.9,2009,mapping,5.0,,84.5,16.9,0.24,1.0
Plants,SCH,SEW35,SEW35,13.85,52.91,2009,mapping,21.0,,91.0,4.33,0.0,14.0
Plants,SCH,SEW36,SEW36,13.75,52.95,2009,mapping,1.0,,87.5,87.5,0.0,0.0
Plants,SCH,SEW37,SEW37,13.78,52.94,2009,mapping,7.0,,91.0,13.0,0.0,3.0
Plants,SCH,SEW38,SEW38,13.67,52.89,2009,mapping,14.0,,83.5,5.96,0.0,7.5
Plants,SCH,SEW39,SEW39,13.87,52.92,2009,mapping,21.0,,175.0,8.33,0.0,18.5
Plants,SCH,SEW4,SEW4,13.85,52.92,2009,mapping,5.0,,129.0,25.8,0.29,1.0
Plants,SCH,SEW42,SEW42,13.91,52.9,2009,mapping,19.0,,166.5,8.76,0.0,18.5
Plants,SCH,SEW43,SEW43,13.93,52.9,2009,mapping,28.0,,179.0,6.39,0.0,26.0
Plants,SCH,SEW44,SEW44,13.86,52.92,2009,mapping,9.0,,156.0,17.33,0.0,1.5
Plants,SCH,SEW45,SEW45,13.84,53.05,2009,mapping,1.0,,87.5,87.5,0.0,0.0
Plants,SCH,SEW46,SEW46,13.78,53.07,2009,mapping,9.0,,96.0,10.67,0.0,8.0
Plants,SCH,SEW47,SEW47,13.77,53.07,2009,mapping,8.0,,66.5,8.31,0.0,3.0
Plants,SCH,SEW48,SEW48,13.85,53.05,2009,mapping,11.0,,149.0,13.55,0.0,5.5
Plants,SCH,SEW49,SEW49,13.89,52.89,2009,mapping,22.0,,167.0,7.59,0.01,35.5
Plants,SCH,SEW5,SEW5,13.89,53.06,2009,mapping,8.0,,101.0,12.62,0.0,2.5
Plants,SCH,SEW50,SEW50,13.79,53.04,2009,mapping,20.0,,115.5,5.78,0.0,17.0
Plants,SCH,SEW6,SEW6,13.84,52.91,2009,mapping,21.0,,193.5,9.21,0.0,27.5
Plants,SCH,SEW7,SEW7,13.69,53.11,2009,mapping,11.0,,108.5,9.86,0.0,20.5
Plants,SCH,SEW8,SEW8,13.93,53.19,2009,mapping,3.0,,118.5,39.5,0.0,10.5
Plants,SCH,SEW9,SEW9,13.81,53.04,2009,mapping,4.0,,92.0,23.0,0.0,1.0
Plants,BAY,T1_1,X0,13.4,48.92,2006,mapping,8.0,,126.5,15.81,0.91,19.0
Plants,SCH,SEW40,SEW40,13.86,52.91,2009,mapping,29.0,,184.0,6.34,0.0,60.5
Plants,SCH,SEW41,SEW41,13.91,52.91,2009,mapping,5.0,,166.5,33.3,0.0,0.5
Plants,BAY,T1_14,X0,13.41,48.93,2006,mapping,22.0,,303.5,13.8,0.7,164.0
Plants,BAY,T1_15,X0,13.41,48.93,2006,mapping,8.0,,132.0,16.5,0.48,12.0
Plants,BAY,T1_16,X0,13.41,48.93,2006,mapping,21.0,,151.0,7.19,0.91,43.5
Plants,BAY,T1_17,X0,13.41,48.93,2006,mapping,6.0,,148.5,24.75,0.51,1.0
Plants,BAY,T1_18,X0,13.41,48.93,2006,mapping,6.0,,158.5,26.42,1.0,71.0
Plants,BAY,T1_19,X0,13.41,48.93,2006,mapping,5.0,,199.0,39.8,0.57,89.0
Plants,BAY,T1_2,X0,13.4,48.92,2006,mapping,2.0,,90.0,45.0,1.0,2.5
Plants,BAY,T1_20,X0,13.41,48.93,2006,mapping,12.0,,170.5,14.21,0.75,23.0
Plants,BAY,T1_21,X0,13.41,48.93,2006,mapping,17.0,,202.5,11.91,0.15,65.0
Plants,BAY,T1_22,X0,13.41,48.93,2006,mapping,4.0,,206.0,51.5,0.55,21.0
Plants,BAY,T1_23,X0,13.42,48.93,2006,mapping,3.0,,148.5,49.5,0.57,3.5
Plants,BAY,T1_24,X0,13.42,48.93,2006,mapping,4.0,,84.0,21.0,0.76,1.5
Plants,BAY,T1_25,X0,13.42,48.93,2006,mapping,3.0,,95.5,31.83,0.89,0.5
Plants,BAY,T1_10,X0,13.41,48.92,2006,mapping,3.0,,225.0,75.0,0.44,0.0
Plants,BAY,T1_11,X0,13.41,48.92,2006,mapping,6.0,,194.0,32.33,0.4,11.5
Plants,BAY,T1_12,X0,13.41,48.92,2006,mapping,15.0,,190.5,12.7,0.73,78.0
Plants,BAY,T1_13,X0,13.41,48.92,2006,mapping,15.0,,229.5,15.3,0.55,102.0
Plants,BAY,T1_6,X0,13.4,48.92,2006,mapping,6.0,,111.0,18.5,0.61,16.0
Plants,BAY,T1_26,X0,13.42,48.93,2006,mapping,3.0,,110.5,36.83,1.0,3.0
Plants,BAY,T1_27,X0,13.42,48.94,2006,mapping,18.0,,163.0,9.06,0.79,115.0
Plants,BAY,T1_28,X0,13.42,48.94,2006,mapping,22.0,,199.5,9.07,0.33,169.5
Plants,BAY,T1_29,X0,13.42,48.94,2006,mapping,11.0,,142.5,12.95,0.21,92.0
Plants,BAY,T1_3,X0,13.4,48.92,2006,mapping,15.0,,345.0,23.0,0.72,237.5
Plants,BAY,T1_30,X0,13.42,48.94,2006,mapping,11.0,,66.5,6.05,0.0,46.5
Plants,BAY,T1_31,X0,13.42,48.94,2006,mapping,17.0,,120.5,7.09,0.8,70.5
Plants,BAY,T1_32,X0,13.42,48.94,2006,mapping,11.0,,164.5,14.95,0.18,94.5
Plants,BAY,T1_33,X0,13.42,48.94,2006,mapping,6.0,,143.0,23.83,1.0,113.0
Plants,BAY,T1_34,X0,13.42,48.94,2006,mapping,3.0,,165.0,55.0,1.0,127.5
Plants,BAY,T1_35,X0,13.43,48.94,2006,mapping,7.0,,156.5,22.36,0.44,71.5
Plants,BAY,T1_36,X0,13.43,48.94,2006,mapping,7.0,,159.5,22.79,0.57,49.5
Plants,BAY,T1_37,X0,13.43,48.94,2006,mapping,8.0,,168.5,21.06,0.31,136.0
Plants,BAY,T1_38,X0,13.43,48.94,2006,mapping,20.0,,189.5,9.47,1.0,104.5
Plants,BAY,T1_39,X0,13.43,48.94,2006,mapping,17.0,,171.0,10.06,0.65,114.0
Plants,BAY,T1_4,X0,13.4,48.92,2006,mapping,18.0,,259.5,14.42,0.77,174.5
Plants,BAY,T1_40,X0,13.43,48.94,2006,mapping,22.0,,194.0,8.82,1.0,111.5
Plants,BAY,T1_41,X0,13.43,48.95,2006,mapping,11.0,,106.0,9.64,1.0,73.5
Plants,BAY,T1_42,X0,13.43,48.95,2006,mapping,7.0,,126.0,18.0,0.74,8.5
Plants,BAY,T1_43,X0,13.43,48.95,2006,mapping,4.0,,120.5,30.12,0.83,3.0
Plants,BAY,T1_44,X0,13.43,48.95,2006,mapping,22.0,,146.0,6.64,0.68,53.5
Plants,BAY,T1_45,X0,13.43,48.95,2006,mapping,9.0,,151.0,16.78,0.16,23.5
Plants,BAY,T1_46,X0,13.43,48.95,2006,mapping,30.0,,198.5,6.62,0.06,156.5
Plants,BAY,T1_47,X0,13.43,48.95,2006,mapping,25.0,,182.5,7.3,0.17,167.5
