id,name,parentlayerid,defaultvisibility,sublayerids,minscale,maxscale,unit
28,Na_Sodium_Ap_AquaRegia,0,False,,False,False,Undetermined 
29,Nb_Niobium_Ap_AquaRegia,0,False,,False,False,Undetermined 
30,Ni_Nickel_Ap_AquaRegia,0,False,,False,False,Undetermined 
31,P_Phosphorus_Ap_AquaRegia,0,False,,False,False,Undetermined 
32,Pb_Lead_Ap_AquaRegia,0,False,,False,False,Undetermined 
33,Pd_Palladium_Ap_AquaRegia,0,False,,False,False,Undetermined 
34,Pt_Platinum_Ap_AquaRegia,0,False,,False,False,Undetermined 
35,Rb_Rubidium_Ap_AquaRegia,0,False,,False,False,Undetermined 
36,Re_Rhenium_Ap_AquaRegia,0,False,,False,False,Undetermined 
37,S_Sulphur_Ap_AquaRegia,0,False,,False,False,Undetermined 
38,Sb_Antimony_Ap_AquaRegia,0,False,,False,False,Undetermined 
39,Sc_Scandium_Ap_AquaRegia,0,False,,False,False,Undetermined 
40,Se_Selenium_Ap_AquaRegia,0,False,,False,False,Undetermined 
41,Sn_Tin_Ap_AquaRegia,0,False,,False,False,Undetermined 
42,Sr_Strontium_Ap_AquaRegia,0,False,,False,False,Undetermined 
43,Ta_Tantalum_Ap_AquaRegia,0,False,,False,False,Undetermined 
44,Te_Tellurium_Ap_AquaRegia,0,False,,False,False,Undetermined 
45,Th_Thorium_Ap_AquaRegia,0,False,,False,False,Undetermined 
46,Ti_Titanium_Ap_AquaRegia,0,False,,False,False,Undetermined 
47,Tl_Thallium_Ap_AquaRegia,0,False,,False,False,Undetermined 
48,U_Uranium_Ap_AquaRegia,0,False,,False,False,Undetermined 
49,V_Vanadium_Ap_AquaRegia,0,False,,False,False,Undetermined 
50,W_Tungsten_Ap_AquaRegia,0,False,,False,False,Undetermined 
51,Y_Yttrium_Ap_AquaRegia,0,False,,False,False,Undetermined 
52,Zn_Zinc_Ap_AquaRegia,0,False,,False,False,Undetermined 
53,Zr_Zirconium_Ap_AquaRegia,0,False,,False,False,Undetermined 
54,Aqua regia for Grazing Land_Gr Samples,-1,False,"[55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107]",False,False,Undetermined 
55,Ag_Silver_Gr_AquaRegia ,54,True,,False,False,Undetermined 
56,Al_Alluminium_Gr_AquaRegia  ,54,False,,False,False,Undetermined 
57,As_Arsenic_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Arsenic
58,Au_Gold_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Gold
59,B_Boron_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Boron
60,Ba_Barium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Barium
61,Be_Berillium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Berillium
62,Bi_Bismuth_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Bismuth
63,Ca_Calcium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Calcium
64,Cd_Cadmium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Cadmium
65,Ce_Cerium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Cerium
66,Co_Cobalt_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Cobalt
67,Cr_Chromium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Chromium
68,Cs_Caesium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Caesium
69,Cu_Copper_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Copper
70,Fe_Iron_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Iron
71,Ga_Gallium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Gallium
72,Ge_Germanium_GR_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Germanium
73,Hf_Hafnium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Hafnium
74,Hg_Mercury_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Mercury
75,In_Indium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Indium
76,K_Potassium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Potassium
77,La_Lanthanum_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Lanthanum
78,Li_Lithium_GR_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Lithium
79,Mg_Magnesium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Magnesium
80,Mn_Manganese_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Manganese
81,Mo_Molybdenum_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Molybdenum
82,Na_Sodium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Sodium
83,Nb_Niobium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Niobium
84,Ni_Nickel_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Nickel
85,P_Potassium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Potassium
86,Pb_Lead_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Lead
87,Pd_Palladium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Palladium
88,Pt_Platinum_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Platinum
89,Rb_Rubidium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Rubidium
90,Re_Rhenium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Rhenium
91,S_Sulphur_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Sulphur
92,Sb_Antimony_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Antimony
93,Sc_Scandium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Scandium
94,Se_Selenium_Gr_GEMAS_AquaRegia,54,False,,False,False,Undetermined 
95,Sr_Strontium_Gr_GEMAS_AquaRegia,54,False,,False,False,Undetermined 
96,Ta_Tantalum_Gr_GEMAS_AquaRegia,54,False,,False,False,Undetermined 
97,Sn_Tin_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Tin
98,Te_Tellurium_Gr_AquaRegia  mg/kg,54,False,,False,False,mg/kg of Tellurium
