Habitat_type,Sampling_regime,PlotIDYear,Exploratory,PlotID,CollectionYear,biomass,abundance_unidentified_identified,abundance_identified,species,abundance_carnivore,species_carnivore,biomass_carnivore,abundance_herbivore,species_herbivore,biomass_herbivore,abundance_omnivore,species_omnivore,biomass_omnivore,landuse_intensity,temprature
grassland,annual,AEG03_2009,ALB,AEG3,2009,7878.531915,658,149,36,5,5,280.3825792,142,30,7552.30786,2,1,45.84147629,1.77,-1.145413333
grassland,annual,AEG03_2010,ALB,AEG3,2010,2864.40187,688,133,31,8,5,283.1420975,125,26,2581.259773,0,0,0,1.77,-0.958121083
grassland,annual,AEG03_2011,ALB,AEG3,2011,3830.851791,262,78,28,4,4,71.8553343,73,23,3736.075718,1,1,22.92073815,1.77,-0.86646175
grassland,annual,AEG03_2012,ALB,AEG3,2012,8026.232281,658,135,39,8,8,814.0829624,123,28,7040.004372,4,3,172.144946,1.77,-0.534162975
grassland,annual,AEG03_2013,ALB,AEG3,2013,2950.308588,451,67,27,6,4,299.2923339,60,22,2628.095516,1,1,22.92073815,1.77,-0.771753417
grassland,annual,AEG03_2014,ALB,AEG3,2014,401.3201766,1226,35,17,5,4,21.84867413,29,12,378.7350321,1,1,0.736470394,1.77,1.612044917
grassland,annual,AEG03_2015,ALB,AEG3,2015,2175.168956,443,74,23,4,4,111.4220326,68,17,2038.273378,2,2,25.47354547,1.77,0.704822583
grassland,annual,AEG03_2016,ALB,AEG3,2016,11105.51337,1509,130,34,12,7,299.3430843,118,27,10806.17029,0,0,0,1.77,2.978636364
grassland,annual,AEG03_2017,ALB,AEG3,2017,5699.889003,726,186,35,5,4,127.3115564,179,29,5533.963323,2,2,38.61412301,1.77,-0.0731215
grassland,annual,AEG04_2008,ALB,AEG4,2008,27726.84167,2094,1262,37,8,5,305.7431377,1250,29,27389.24402,4,3,31.854511,1.8,1.540757521
grassland,annual,AEG04_2009,ALB,AEG4,2009,10580.46812,729,239,34,13,9,650.9957558,223,24,9806.089715,3,1,123.3826485,1.8,-0.92567025
grassland,annual,AEG04_2010,ALB,AEG4,2010,2724.940736,535,145,21,7,4,238.4514347,138,17,2486.489301,0,0,0,1.8,-0.77038175
grassland,annual,AEG04_2011,ALB,AEG4,2011,6171.974062,588,187,20,9,6,466.8798361,177,13,5703.339576,1,1,1.754650082,1.8,-0.720653333
grassland,annual,AEG04_2012,ALB,AEG4,2012,14370.15748,624,267,31,5,4,92.72783929,260,25,14235.92436,2,2,41.50528094,1.8,-0.343299421
grassland,annual,AEG04_2013,ALB,AEG4,2013,2047.286958,346,58,21,7,5,147.7711119,51,16,1899.515846,0,0,0,1.8,-0.110875167
grassland,annual,AEG04_2015,ALB,AEG4,2015,3779.062531,668,166,27,11,8,362.7299718,154,18,3386.504184,1,1,29.82837487,1.8,1.114301917
grassland,annual,AEG04_2016,ALB,AEG4,2016,4034.795974,356,84,27,7,5,225.4089733,77,22,3809.387001,0,0,0,1.8,2.505909339
grassland,annual,AEG04_2017,ALB,AEG4,2017,1521.316546,519,58,23,4,3,82.8812283,53,19,1426.908829,1,1,11.52648838,1.8,-1.176850917
grassland,annual,AEG05_2008,ALB,AEG5,2008,65542.06575,4176,2785,69,27,18,1065.416756,2754,47,64364.37444,4,4,112.2745583,1.86,1.365943719
grassland,annual,AEG05_2009,ALB,AEG5,2009,10523.74719,2501,733,29,14,8,126.5360846,718,20,10326.35201,1,1,70.85909565,1.86,-0.904249917
grassland,annual,AEG05_2010,ALB,AEG5,2010,2456.140082,784,140,18,5,3,359.9871434,133,13,2093.515902,2,2,2.637036751,1.86,-0.783232417
grassland,annual,AEG05_2011,ALB,AEG5,2011,6302.776779,570,358,22,3,3,39.09262477,355,19,6263.684154,0,0,0,1.86,-0.6510485
grassland,annual,AEG05_2012,ALB,AEG5,2012,4949.222996,551,161,24,2,2,69.56903334,156,20,4792.684937,3,2,86.96902579,1.86,-0.398488099
grassland,annual,AEG05_2013,ALB,AEG5,2013,4802.129573,632,48,13,1,1,42.8060299,47,12,4759.323543,0,0,0,1.86,-0.439173167
grassland,annual,AEG05_2014,ALB,AEG5,2014,828.3862271,514,21,13,2,2,60.8384053,19,11,767.5478218,0,0,0,1.86,1.339527917
grassland,annual,AEG05_2015,ALB,AEG5,2015,5604.998096,489,172,23,6,3,166.0194556,165,19,5425.880399,1,1,13.0982411,1.86,0.636829667
grassland,annual,AEG05_2016,ALB,AEG5,2016,3576.971254,864,65,23,5,5,83.4138604,60,18,3493.557394,0,0,0,1.86,2.524252562
grassland,annual,AEG05_2017,ALB,AEG5,2017,973.5570505,188,44,21,1,1,2.781813352,43,20,970.7752372,0,0,0,1.86,-0.493618333
grassland,annual,AEG06_2008,ALB,AEG6,2008,72297.90275,2533,1440,55,16,10,437.9751137,1418,41,71072.01093,6,4,787.9167078,2.12,1.485171983
grassland,annual,AEG06_2009,ALB,AEG6,2009,31941.81151,1015,515,29,4,2,511.1372934,510,26,31400.84585,1,1,29.82837487,2.12,-0.778468417
grassland,annual,AEG06_2010,ALB,AEG6,2010,1935.23746,1432,134,28,4,4,284.2000531,129,23,1645.612935,1,1,5.424472686,2.12,-0.5548995
grassland,annual,AEG06_2011,ALB,AEG6,2011,6539.479614,914,424,30,6,5,457.7169192,416,23,6076.984939,1,1,1.754650082,2.12,-0.467885417
grassland,annual,AEG06_2012,ALB,AEG6,2012,1704.877364,217,38,18,0,0,0,38,18,1704.877364,0,0,0,2.12,-0.154810413
grassland,annual,AEG06_2013,ALB,AEG6,2013,523.9160229,487,29,13,3,2,81.56541973,25,10,434.8209564,1,1,7.529646751,2.12,-0.245572917
grassland,annual,AEG06_2015,ALB,AEG6,2015,1116.424532,385,85,20,4,4,107.6285934,80,15,978.9675641,1,1,29.82837487,2.12,0.835489417
grassland,annual,AEG06_2016,ALB,AEG6,2016,1970.206013,418,125,24,5,5,90.90106348,119,18,1867.778461,1,1,11.52648838,2.12,2.560075537
grassland,annual,AEG06_2017,ALB,AEG6,2017,4211.610609,351,126,22,2,1,73.44714979,123,20,4115.242721,1,1,22.92073815,2.12,-0.4451875
grassland,annual,AEG07_2008,ALB,AEG7,2008,10691.04454,735,231,53,13,10,170.9877677,217,42,10436.99955,1,1,83.05722649,0.52,1.170492231
grassland,annual,AEG07_2009,ALB,AEG7,2009,6441.652711,274,79,28,7,7,411.9205922,72,21,6029.732119,0,0,0,0.52,-0.5736945
grassland,annual,AEG07_2010,ALB,AEG7,2010,3099.741449,200,43,16,2,2,10.23424734,41,14,3089.507201,0,0,0,0.52,-0.504919833
grassland,annual,AEG07_2011,ALB,AEG7,2011,2892.804407,253,103,20,2,2,43.68673469,101,18,2849.117672,0,0,0,0.52,-0.360712083
grassland,annual,AEG07_2012,ALB,AEG7,2012,227.6684658,153,16,8,2,2,18.97031266,14,6,208.6981532,0,0,0,0.52,0.146112727
grassland,annual,AEG07_2013,ALB,AEG7,2013,10219.40126,156,41,18,3,3,48.95220481,36,13,10131.58316,2,2,38.86589171,0.52,-0.266718917
grassland,annual,AEG07_2014,ALB,AEG7,2014,2672.727274,290,39,16,2,1,27.02146131,36,14,2645.705812,0,0,0,0.52,1.762583583
grassland,annual,AEG07_2015,ALB,AEG7,2015,3398.950374,539,193,34,9,8,165.8522815,184,26,3233.098092,0,0,0,0.52,0.865017833
grassland,annual,AEG07_2016,ALB,AEG7,2016,4222.606572,350,104,25,3,3,31.40187543,101,22,4191.204696,0,0,0,0.52,3.172437603
grassland,annual,AEG07_2017,ALB,AEG7,2017,1299.997094,208,40,20,7,3,113.7024581,33,17,1186.294636,0,0,0,0.52,0.503246833
grassland,annual,AEG08_2008,ALB,AEG8,2008,4216.110715,742,441,33,5,3,133.8145251,436,30,4082.29619,0,0,0,1.28,1.059345702
grassland,annual,AEG08_2009,ALB,AEG8,2009,8149.758236,654,226,42,6,6,156.4725172,220,36,7993.285719,0,0,0,1.28,-0.949382083
grassland,annual,AEG08_2010,ALB,AEG8,2010,2099.036269,108,28,17,3,2,675.3510935,24,14,1410.174445,0,0,0,1.28,-0.668843833
grassland,annual,AEG08_2011,ALB,AEG8,2011,559.6463887,132,40,13,2,2,255.3844477,38,11,304.261941,0,0,0,1.28,-0.50986475
grassland,annual,AEG08_2012,ALB,AEG8,2012,193.0441807,89,17,12,4,4,80.14778438,13,8,112.8963964,0,0,0,1.28,-0.199276612
grassland,annual,AEG08_2013,ALB,AEG8,2013,994.0581848,143,46,15,6,4,32.74116079,40,11,961.317024,0,0,0,1.28,-0.471535083
grassland,annual,AEG08_2014,ALB,AEG8,2014,797.1952438,155,11,7,1,1,4.852114087,10,6,792.3431297,0,0,0,1.28,1.648010583
grassland,annual,AEG08_2015,ALB,AEG8,2015,1759.998517,223,136,18,1,1,2.781813352,135,17,1757.216704,0,0,0,1.28,0.735843917
grassland,annual,AEG08_2016,ALB,AEG8,2016,4629.532328,307,99,24,2,2,15.03931627,97,22,4614.493011,0,0,0,1.28,2.967692645
grassland,annual,AEG08_2017,ALB,AEG8,2017,767.434151,122,25,10,1,1,2.552807322,24,9,764.8813437,0,0,0,1.28,-0.009826083
grassland,annual,AEG09_2008,ALB,AEG9,2008,10734.93523,667,223,47,3,2,42.71484617,219,44,10632.38469,1,1,59.83569633,0.73,1.279576198
grassland,annual,AEG09_2009,ALB,AEG9,2009,1900.941721,603,103,27,4,4,32.86646619,99,23,1868.075255,0,0,0,0.73,-0.8818055
grassland,annual,AEG09_2010,ALB,AEG9,2010,2251.423403,239,49,20,4,3,237.2242723,44,16,1984.370755,1,1,29.82837487,0.73,-0.454048417
grassland,annual,AEG09_2011,ALB,AEG9,2011,4223.926848,427,88,36,3,3,41.97903081,82,30,3942.5798,3,3,239.3680176,0.73,-0.305222167
grassland,annual,AEG09_2012,ALB,AEG9,2012,550.8080977,179,22,15,5,4,94.72742166,17,11,456.080676,0,0,0,0.73,-0.044820992
grassland,annual,AEG09_2013,ALB,AEG9,2013,2123.360237,246,76,15,0,0,0,75,14,1687.753895,1,1,435.6063419,0.73,-0.039041417
grassland,annual,AEG09_2014,ALB,AEG9,2014,4577.090611,670,83,33,11,7,203.4139047,72,26,4373.676706,0,0,0,0.73,1.907548333
grassland,annual,AEG09_2015,ALB,AEG9,2015,3002.942493,408,113,34,6,6,134.4987834,107,28,2868.44371,0,0,0,0.73,1.056882
grassland,annual,AEG09_2016,ALB,AEG9,2016,5167.845609,356,105,24,6,4,73.37496386,98,19,5061.123695,1,1,33.34694977,0.73,3.222579174
grassland,annual,AEG09_2017,ALB,AEG9,2017,3160.811524,391,91,28,5,5,105.6179757,85,22,3032.272811,1,1,22.92073815,0.73,-0.26609
grassland,annual,AEG10_2008,ALB,AEG10,2008,22111.57121,2520,1829,49,13,7,485.1372418,1814,41,21622.92467,2,1,3.509300165,1.02,-0.170471488
grassland,annual,AEG10_2009,ALB,AEG10,2009,11002.7184,471,203,34,6,5,499.4389266,196,28,10497.855,1,1,5.424472686,1.02,-2.244826167
grassland,annual,AEG10_2010,ALB,AEG10,2010,1570.30917,359,70,24,19,7,772.1542301,51,17,798.1549399,0,0,0,1.02,-1.199253333
grassland,annual,AEG10_2011,ALB,AEG10,2011,1740.820463,248,57,15,4,2,82.9242796,53,13,1657.896183,0,0,0,1.02,-1.18943375
grassland,annual,AEG10_2012,ALB,AEG10,2012,1777.673484,99,27,8,4,3,82.30235005,23,5,1695.371134,0,0,0,1.02,-0.81772719
grassland,annual,AEG10_2014,ALB,AEG10,2014,3891.218363,812,120,26,8,7,219.6591446,112,19,3671.559218,0,0,0,1.02,1.677857667
grassland,annual,AEG10_2015,ALB,AEG10,2015,8458.357959,637,243,38,13,5,1983.659178,229,32,6403.839686,1,1,70.85909565,1.02,0.940864833
grassland,annual,AEG10_2016,ALB,AEG10,2016,1860.491592,308,81,17,3,2,174.0654114,78,15,1686.426181,0,0,0,1.02,2.810058843
grassland,annual,AEG10_2017,ALB,AEG10,2017,3881.540739,390,88,24,2,2,53.77395795,86,22,3827.766781,0,0,0,1.02,-0.434406
grassland,annual,AEG11_2008,ALB,AEG11,2008,3950.86323,487,389,13,0,0,0,388,12,3949.10858,1,1,1.754650082,2.18,1.272620331
grassland,annual,AEG11_2009,ALB,AEG11,2009,3765.899611,553,318,12,1,1,13.51073065,317,11,3752.38888,0,0,0,2.18,-0.615663083
grassland,annual,AEG11_2010,ALB,AEG11,2010,3908.47757,433,115,25,10,7,764.3266768,104,17,3121.230155,1,1,22.92073815,2.18,-0.297007083
grassland,annual,AEG11_2011,ALB,AEG11,2011,4854.367763,462,96,28,6,6,383.9475815,89,21,4429.292632,1,1,41.1275495,2.18,-0.245822833
grassland,annual,AEG11_2012,ALB,AEG11,2012,7825.864322,678,118,25,5,4,326.0629397,104,20,7293.514739,9,1,206.2866433,2.18,0.311263471
grassland,annual,AEG11_2013,ALB,AEG11,2013,2686.224902,464,62,25,10,6,410.9177743,51,18,2252.386389,1,1,22.92073815,2.18,-0.04856275
grassland,annual,AEG11_2014,ALB,AEG11,2014,2223.280075,1991,68,24,11,7,114.0017045,57,17,2109.278371,0,0,0,2.18,2.15856275
grassland,annual,AEG11_2015,ALB,AEG11,2015,9641.393248,1702,488,34,12,8,273.7170245,475,25,9344.755485,1,1,22.92073815,2.18,1.44755875
grassland,annual,AEG11_2016,ALB,AEG11,2016,14644.34144,670,109,30,15,9,587.4993028,94,21,14056.84214,0,0,0,2.18,3.671790661
grassland,annual,AEG11_2017,ALB,AEG11,2017,12285.08007,372,105,23,1,1,48.09328662,104,22,12236.98678,0,0,0,2.18,0.803416833
grassland,annual,AEG12_2008,ALB,AEG12,2008,16297.49138,1646,617,50,11,7,528.4622494,606,43,15769.02913,0,0,0,2.14,1.376042975
grassland,annual,AEG12_2009,ALB,AEG12,2009,6795.723376,754,186,29,6,5,89.04045831,180,24,6706.682918,0,0,0,2.14,-0.892260333
grassland,annual,AEG12_2010,ALB,AEG12,2010,2879.047196,1028,101,26,9,7,980.8546335,90,17,1866.609537,2,2,31.58302495,2.14,-0.68565625
grassland,annual,AEG12_2011,ALB,AEG12,2011,2295.414958,332,60,18,4,3,705.5032797,55,14,1589.175208,1,1,0.736470394,2.14,-0.641444583
grassland,annual,AEG12_2012,ALB,AEG12,2012,4860.741938,344,125,20,8,6,384.4674762,117,14,4476.274462,0,0,0,2.14,-0.218663636
grassland,annual,AEG12_2013,ALB,AEG12,2013,2808.455582,851,69,40,18,11,1503.032966,46,24,1117.157481,5,5,188.2651357,2.14,-0.266100833
grassland,annual,AEG12_2015,ALB,AEG12,2015,1852.555263,545,104,13,0,0,0,103,12,1829.634525,1,1,22.92073815,2.14,1.0585485
grassland,annual,AEG12_2016,ALB,AEG12,2016,4477.224002,703,76,31,7,5,65.94061162,69,26,4411.28339,0,0,0,2.14,2.72420843
grassland,annual,AEG12_2017,ALB,AEG12,2017,5930.542117,362,97,32,6,5,135.8705929,89,26,5748.830048,2,1,45.84147629,2.14,-0.257111333
grassland,annual,AEG13_2008,ALB,AEG13,2008,11919.00944,1381,737,37,3,3,24.68578629,730,33,11887.30505,4,1,7.018600329,2.19,1.345754298
grassland,annual,AEG13_2009,ALB,AEG13,2009,5653.735546,976,121,20,3,2,686.6640643,117,17,4907.235785,1,1,59.83569633,2.19,-0.671941333
grassland,annual,AEG13_2010,ALB,AEG13,2010,3940.128863,647,79,30,4,4,374.0186379,74,25,3130.503883,1,1,435.6063419,2.19,-0.429097167
grassland,annual,AEG13_2011,ALB,AEG13,2011,1391.607029,216,42,15,0,0,0,42,15,1391.607029,0,0,0,2.19,-0.32710425
grassland,annual,AEG13_2012,ALB,AEG13,2012,3385.225711,230,91,19,1,1,36.7235749,87,15,3311.494639,2,2,31.58302495,2.19,-0.003281488
grassland,annual,AEG13_2013,ALB,AEG13,2013,3589.315677,789,96,36,24,10,1900.524604,70,25,1588.909195,2,1,99.88187809,2.19,-0.161426917
grassland,annual,AEG13_2014,ALB,AEG13,2014,1660.147313,534,63,21,9,7,71.30734014,54,14,1588.839973,0,0,0,2.19,1.800305667
grassland,annual,AEG13_2015,ALB,AEG13,2015,6552.754125,389,105,25,6,2,73.12741481,99,23,6479.62671,0,0,0,2.19,0.981253333
grassland,annual,AEG13_2016,ALB,AEG13,2016,2613.593957,319,49,19,3,3,40.73060389,46,16,2572.863353,0,0,0,2.19,2.978137107
grassland,annual,AEG13_2017,ALB,AEG13,2017,2759.497521,209,36,11,0,0,0,36,11,2759.497521,0,0,0,2.19,-0.027281417
grassland,annual,AEG14_2009,ALB,AEG14,2009,6535.350856,408,166,21,1,1,15.69338486,165,20,6519.657471,0,0,0,2.51,-1.1701775
grassland,annual,AEG14_2010,ALB,AEG14,2010,1619.118878,500,56,21,4,3,144.8093345,52,18,1474.309543,0,0,0,2.51,-0.814586833
grassland,annual,AEG14_2011,ALB,AEG14,2011,546.7286386,343,29,15,5,5,32.346213,24,10,514.3824256,0,0,0,2.51,-0.630211833
grassland,annual,AEG14_2012,ALB,AEG14,2012,622.7150456,262,20,11,1,1,216.3796389,17,9,360.4939303,2,1,45.84147629,2.51,-0.407909917
grassland,annual,AEG14_2013,ALB,AEG14,2013,2416.440935,1194,158,35,5,4,285.1270229,149,30,2039.63096,4,1,91.68295259,2.51,-0.479902583
grassland,annual,AEG14_2015,ALB,AEG14,2015,2004.233522,576,98,20,4,3,96.11497379,92,15,1858.867219,2,2,49.25132879,2.51,0.57854175
grassland,annual,AEG14_2016,ALB,AEG14,2016,8198.167543,810,160,23,7,4,351.838697,152,18,7823.408108,1,1,22.92073815,2.51,2.444996612
grassland,annual,AEG14_2017,ALB,AEG14,2017,785.4806412,312,50,18,5,5,79.93259762,45,13,705.5480435,0,0,0,2.51,-0.610392417
grassland,annual,AEG15_2008,ALB,AEG15,2008,8987.420886,1279,410,48,7,6,229.5205814,401,40,8455.870263,2,2,302.0300415,2.99,1.44049595
grassland,annual,AEG15_2009,ALB,AEG15,2009,2496.863751,387,65,22,1,1,13.51073065,61,19,2434.488438,2,1,45.84147629,2.99,-0.451520833
grassland,annual,AEG15_2010,ALB,AEG15,2010,1014.672458,249,73,19,2,2,3.133370145,69,15,877.4616394,1,1,22.92073815,2.99,-0.270711917
grassland,annual,AEG15_2011,ALB,AEG15,2011,3275.965912,108,37,12,0,0,0,36,11,3253.045174,1,1,22.92073815,2.99,-0.045569583
grassland,annual,AEG15_2012,ALB,AEG15,2012,3214.772705,746,110,17,1,1,1.132681411,83,15,2617.700832,26,1,595.9391918,2.99,0.42086438
grassland,annual,AEG15_2013,ALB,AEG15,2013,3079.129679,546,94,33,4,4,73.94716232,88,27,2754.120394,2,2,251.062123,2.99,-0.040013917
grassland,annual,AEG15_2014,ALB,AEG15,2014,1089.551027,341,66,20,4,2,50.30704062,60,16,889.1780865,2,2,150.0659001,2.99,2.12056925
grassland,annual,AEG15_2015,ALB,AEG15,2015,3832.837851,783,260,21,2,2,57.7641649,256,17,3739.054707,2,2,36.01897924,2.99,1.217181167
grassland,annual,AEG15_2016,ALB,AEG15,2016,2967.792891,437,55,29,7,5,215.2544857,47,23,2729.617668,1,1,22.92073815,2.99,3.570447438
grassland,annual,AEG15_2017,ALB,AEG15,2017,11446.42489,577,112,35,7,7,110.8039979,93,25,9829.036226,12,3,1506.584667,2.99,0.620698167
grassland,annual,AEG16_2009,ALB,AEG16,2009,3208.936623,822,117,29,7,5,142.9076014,110,24,3066.029021,0,0,0,1.73,-0.944038667
grassland,annual,AEG16_2010,ALB,AEG16,2010,432.7741926,447,29,15,3,3,77.33863016,26,12,355.4355624,0,0,0,1.73,-0.546732583
grassland,annual,AEG16_2011,ALB,AEG16,2011,356.6771202,298,29,12,7,6,82.01483343,21,5,233.5347372,1,1,41.1275495,1.73,-0.425781083
grassland,annual,AEG16_2012,ALB,AEG16,2012,304.0594498,332,30,11,3,2,112.9339309,27,9,191.1255189,0,0,0,1.73,-0.177128099
grassland,annual,AEG16_2013,ALB,AEG16,2013,1703.922339,454,57,25,8,5,143.4989215,49,20,1560.423418,0,0,0,1.73,-0.275833333
grassland,annual,AEG16_2017,ALB,AEG16,2017,246.6238002,207,16,12,1,1,3.364361559,15,11,243.2594387,0,0,0,1.73,-0.282670667
grassland,annual,AEG17_2008,ALB,AEG17,2008,7112.797167,1032,334,44,16,6,732.6370189,310,35,6111.940928,8,3,268.2192209,1.97,0.679538182
grassland,annual,AEG17_2009,ALB,AEG17,2009,5548.79762,706,124,30,2,2,325.932256,118,26,5026.957988,4,2,195.9073764,1.97,-1.13149
grassland,annual,AEG17_2010,ALB,AEG17,2010,956.0516225,528,77,29,6,6,170.7105849,68,20,749.1057294,2,2,31.04451743,1.97,-0.921732667
grassland,annual,AEG17_2011,ALB,AEG17,2011,626.6666714,195,12,8,4,3,559.7205493,8,5,66.94612214,0,0,0,1.97,-0.79106925
grassland,annual,AEG17_2012,ALB,AEG17,2012,1674.981066,383,58,21,2,2,27.55182624,34,17,1165.357268,22,2,482.0719715,1.97,-0.423812231
grassland,annual,AEG17_2013,ALB,AEG17,2013,3363.567094,480,78,34,9,7,542.3082658,67,25,2796.58344,2,2,24.67538823,1.97,-0.796270667
grassland,annual,AEG17_2014,ALB,AEG17,2014,1264.384195,631,40,24,6,4,82.23534012,33,19,1111.289759,1,1,70.85909565,1.97,1.396944583
grassland,annual,AEG17_2015,ALB,AEG17,2015,5813.587593,350,88,28,4,4,111.7122539,84,24,5701.875339,0,0,0,1.97,0.459448083
grassland,annual,AEG17_2016,ALB,AEG17,2016,13719.53316,489,85,28,9,8,79.02588263,76,20,13640.50728,0,0,0,1.97,2.819342479
grassland,annual,AEG17_2017,ALB,AEG17,2017,5520.204358,320,83,24,1,1,3.364361559,82,23,5516.839997,0,0,0,1.97,-0.108135333
grassland,annual,AEG18_2008,ALB,AEG18,2008,827.0612538,170,36,16,3,2,84.19211591,33,14,742.8691379,0,0,0,2.72,1.020423306
grassland,annual,AEG18_2009,ALB,AEG18,2009,5624.715918,478,130,21,3,2,925.984974,127,19,4698.730944,0,0,0,2.72,-0.966322667
grassland,annual,AEG18_2010,ALB,AEG18,2010,1280.733513,488,42,25,5,5,710.3399357,37,20,570.3935772,0,0,0,2.72,-0.710395667
grassland,annual,AEG18_2011,ALB,AEG18,2011,498.7768917,213,27,12,5,5,330.0951008,21,6,159.9357321,1,1,8.746058771,2.72,-0.530781083
grassland,annual,AEG18_2012,ALB,AEG18,2012,504.7720349,392,20,12,3,3,29.48884315,15,8,429.4417155,2,1,45.84147629,2.72,-0.305584793
grassland,annual,AEG18_2013,ALB,AEG18,2013,1635.581958,1219,121,30,11,6,261.1338233,109,23,1351.527397,1,1,22.92073815,2.72,-0.506923333
grassland,annual,AEG18_2015,ALB,AEG18,2015,414.6266908,108,10,7,3,3,258.1662611,7,4,156.4604297,0,0,0,2.72,0.698253417
grassland,annual,AEG18_2016,ALB,AEG18,2016,889.8025931,396,28,16,7,5,51.75988678,21,11,838.0427064,0,0,0,2.72,2.890185455
grassland,annual,AEG18_2017,ALB,AEG18,2017,321.4980283,138,32,17,5,4,116.1266899,26,12,203.6166883,1,1,1.754650082,2.72,-0.1506145
grassland,annual,AEG19_2008,ALB,AEG19,2008,34556.3711,2939,1649,30,20,6,769.8157541,1621,22,33576.16924,8,2,210.3861061,2.11,1.547348347
grassland,annual,AEG19_2009,ALB,AEG19,2009,6322.470738,615,366,21,3,3,39.81060611,360,15,6158.387985,2,2,123.6656464,2.11,-0.776767167
grassland,annual,AEG19_2010,ALB,AEG19,2010,1866.321838,342,76,21,4,4,263.720964,70,16,1542.944124,2,1,59.65674973,2.11,-0.75203125
grassland,annual,AEG19_2011,ALB,AEG19,2011,1421.397013,470,137,14,4,3,71.34924794,132,10,1320.21939,1,1,29.82837487,2.11,-0.622204583
grassland,annual,AEG19_2012,ALB,AEG19,2012,4754.413146,600,178,25,4,4,585.7298568,166,20,3985.317384,8,1,183.3659052,2.11,-0.380671322
grassland,annual,AEG19_2013,ALB,AEG19,2013,2051.316715,601,93,23,11,7,605.8119477,82,16,1445.504767,0,0,0,2.11,-0.177097333
grassland,annual,AEG19_2014,ALB,AEG19,2014,1742.199343,192,37,22,7,6,33.94748473,29,15,1685.33112,1,1,22.92073815,2.11,1.801082583
