PlotID,exploratory,latitude,longitude,col1,glucosidase_change,ergosterol_change,sum_microbial_PLFA_change,soil_temperature_change,SWC_change,pH_historic,plant_biomass_change,cellulose_change
HEG50,HAI,51.28,10.42,Cambisol,398.2650993,4.69046355,13.9056442,0.85,4.4,6.845,184.15,3.337
SEG1,SCH,53.09,13.97,Hstoyol,102.764827,-2.60551918,-63.5775928,2.4,22.89,7.235,276.8,2.943
SEG2,SCH,53.09,13.98,Histosol,425.792565,-2.83047242,112.3951417,2.03,15.06,7.32,241.2,2.652
SEG3,SCH,53.1,13.99,Hilosol,877.558375,-0.14644964,21.189625,2.24,-2.31,7.42,228.75,1.856
SEG4,SCH,53.11,14.0,Histosol,548.84763,-0.81856406,-15.1994018,1.67,15.78,7.35,124.4,1.895
SEG5,SCH,53.11,14.0,Glesoe,-18.358007,-2.67819872,46.9535156,3.24,2.85,7.415,178.0,0.495
SEG6,SCH,53.1,13.62,Histosol,884.32639,3.16826954,-5.0380854,0.35,3.02,5.535,38.45,1.848
SEG7,SCH,53.09,13.98,Histsol,-260.002959,3.97617454,87.1500945,1.7,-6.67,7.295,286.4,5.872
SEG8,SCH,53.11,14.02,Gleysol,-109.848567,2.7668434,66.9408992,1.45,8.02,7.34,234.95,6.621
SEG9,SCH,53.1,13.61,Hitobol,-566.150344,-1.30623743,-16.0671358,0.35,2.33,6.56,-26.3,1.963
SEG10,SCH,53.11,14.0,Histosol,-416.032864,0.75229412,83.8096118,3.44,3.37,7.395,285.5,1.475
SEG11,SCH,53.11,13.99,Gleyal,-201.910535,0.6955543,57.3022635,2.74,1.65,7.425,241.45,4.767
SEG12,SCH,53.09,13.97,Histosol,-333.485835,0.75035026,60.7333549,3.16,-0.71,7.37,197.55,0.305
SEG13,SCH,52.97,13.82,umbisol,-990.6142054,-6.77651365,12.9450924,0.74,0.44,7.125,-14.3,-1.316
SEG14,SCH,53.09,13.98,Gleysol,25.074668,2.84867449,124.0052192,1.15,4.12,7.345,78.8,2.247
SEG15,SCH,53.11,14.01,Hotosol,-784.962895,-0.08746354,95.7984977,2.17,5.22,7.365,154.9,1.418
SEG16,SCH,53.12,14.0,Gleysol,-519.188632,-2.15225788,83.0155454,3.79,-1.3,7.4,-47.8,1.299
SEG17,SCH,53.1,13.63,Hitosot,552.962034,2.10423826,103.7596696,0.44,-0.14,5.03,18.15,1.049
SEG18,SCH,53.14,13.88,Luvisol,1.0973198,2.74528797,11.706695,1.51,8.69,5.14,173.75,1.482
SEG19,SCH,53.12,14.01,xeysol,-355.700011,-1.48627607,28.4490642,7.27,-11.29,7.325,70.3,1.34
SEG20,SCH,53.1,13.62,Histosol,213.77829,4.50229616,150.5193984,-0.12,4.34,6.585,611.85,5.353
SEG21,SCH,53.11,13.61,Glvysl,1115.276594,12.70034161,103.6073976,0.81,7.86,5.345,337.6,1.949
SEG22,SCH,53.1,13.97,Gleysol,412.863465,1.01647358,61.3396502,0.22,12.33,7.275,-79.6,-0.154
SEG23,SCH,53.11,14.03,Hxstoso,1378.160005,24.62278581,123.3611693,1.04,-16.45,5.2,309.7,1.879
SEG24,SCH,53.09,14.0,Histosol,321.622956,2.57825285,102.665818,1.66,-4.57,7.07,32.37,1.087
SEG25,SCH,53.11,13.62,Histsoz,918.143462,-0.69024746,53.4690894,0.28,8.84,6.305,-6.2,0.939
SEG26,SCH,53.11,14.02,Histosol,1434.116184,1.35038486,131.8247821,3.18,-2.41,7.14,33.85,6.784
SEG27,SCH,53.12,13.71,Hisoshl,966.27874,2.06996811,28.4052117,0.24,5.09,5.76,121.25,0.2825
SEG28,SCH,53.09,14.01,Histosol,342.460071,0.84963776,82.0818842,8.9,5.95,7.295,-81.55,-0.262
SEG29,SCH,53.09,14.0,Hisosor,-153.948722,-1.16589838,74.0060147,0.36,18.92,7.39,57.95,-0.818
SEG30,SCH,53.15,13.83,Albeluvisol,-164.2781621,3.2406257,18.5220649,1.59,0.86,7.09,160.75,-0.82
SEG31,SCH,53.15,13.84,Cybisol,13.9538267,3.77738895,33.3387241,1.6,15.53,6.235,203.4,6.395
SEG32,SCH,53.15,13.83,Luvisol,-112.1755342,1.52569086,11.6191382,-0.17,1.1,5.91,101.0,3.481
SEG33,SCH,52.99,13.84,Albeluvsol,-54.450821,0.18918098,30.9418428,0.82,9.76,5.71,409.55,5.448
SEG34,SCH,52.98,13.85,Albeluvisol,63.3270716,1.59236347,33.8436238,0.32,47.22,5.58,225.15,-0.768
SEG35,SCH,52.98,13.85,Luviok,120.167598,2.84753133,36.6961057,1.8,2.85,5.965,158.05,1.631
SEG36,SCH,52.99,13.84,Albeluvisol,211.6239846,1.72379926,92.1975208,1.16,5.73,6.2,72.9,2.966
SEG37,SCH,53.13,13.88,Albeluvkso,44.0307765,0.65858797,25.3479236,1.93,-0.3,4.575,,
SEG38,SCH,53.12,13.68,Cambisol,74.3353998,2.3397866,13.8897399,-0.31,4.65,5.17,218.35,-0.041
SEG39,SCH,52.98,13.82,Cnmbisl,188.7446018,2.7285932,34.6029999,1.11,8.97,7.065,44.7,-2.079
SEG40,SCH,53.12,13.84,Luvisol,813.7043821,9.14764754,99.670419,4.06,1.66,5.755,245.85,0.94
SEG41,SCH,53.12,13.85,Lbviso,298.8066956,2.82740446,42.2349196,1.93,-1.77,5.3,234.25,5.398
SEG42,SCH,52.87,13.97,Luvisol,415.4412065,2.40582356,33.0560169,-0.33,3.21,5.08,187.5,2.931
SEG43,SCH,52.88,13.97,Lvisll,-56.1572681,3.53197849,35.577517,0.95,3.75,5.94,318.4,3.338
SEG44,SCH,52.88,13.97,Cambisol,105.1119014,1.81214524,26.6342071,0.38,-18.87,5.41,144.15,-3.537
SEG45,SCH,52.88,13.96,Abeduvisol,280.8321423,2.19439018,33.6074896,0.73,1.16,5.255,367.1,3.442
SEG46,SCH,52.98,13.83,Cambisol,918.7060965,10.98708825,37.1109914,0.95,6.4,5.365,305.65,0.358
SEG47,SCH,52.99,13.83,Luvion,313.4485306,0.37234311,31.7791451,1.4,6.69,6.165,-1.25,1.621
SEG48,SCH,53.1,13.61,Luvisol,87.4042222,0.93071779,23.844271,-0.01,6.12,6.725,537.65,10.072
SEG49,SCH,52.97,13.86,Albeluvsul,89.809235,-0.06132346,17.6185572,0.08,13.84,5.975,19.5,1.919
SEG50,SCH,53.12,13.75,Cambisol,40.9856282,0.43483809,16.3822542,0.1,-0.86,5.07,535.15,3.957
