record_id,aircraft_type,airport_name,altitude_bin,aircraft_make_model,wildlife_number_struck,wildlife_number_struck_actual,effect_impact_to_flight,flightdate,effect_indicated_damage,aircraft_number_of_engines,aircraft_airline_operator,origin_state,when_phase_of_flight,conditions_precipitation,remains_of_wildlife_collected,remains_of_wildlife_sent_to_smithsonian,remarks,wildlife_size,conditions_sky,wildlife_species,pilot_warned_of_birds_or_wildlife,cost_total,feet_above_ground,number_of_people_injured,is_aircraft_large
200220,Airplane,GROTON-NEW LONDON AR,< 1000 ft,C-421,2 to 10,2,None,2000-01-30T00:00:00,No damage,2,BUSINESS,Connecticut (United States),Landing Roll,None,False,False,,Small,Overcast,Unknown bird - small,False,0,0,0,False
200219,Airplane,SPIRIT OF ST LOUIS,> 1000 ft,C-560,2 to 10,2,None,2000-01-30T00:00:00,No damage,2,EXECUTIVE JET AVIATION,Missouri (United States),Approach,Snow,False,False,HIT FLAP,Small,Overcast,Unknown bird - small,False,0,1800,0,False
203756,Airplane,THEODORE FRANCIS GREEN STATE,< 1000 ft,B-737-200,2 to 10,5,None,2000-01-30T00:00:00,No damage,2,US AIRWAYS*,Rhode Island (United States),Approach,None,False,False,FLT 2634. PILOT STATED HE HEARD 3 SMALL HITS & DIDN'T BELIEVE  THERE WAS ANY DAMAGE.,Small,No Cloud,European starling,False,0,50,0,True
204061,Airplane,KANSAS CITY INTL,< 1000 ft,MD-80,2 to 10,5,None,2000-02-01T00:00:00,No damage,2,TRANS WORLD AIRLINES,Missouri (United States),Approach,None,False,False,"BIRD ID BY DAN, WS MO. 3/17/00.  FLT 345",Large,Some Cloud,Snow goose,True,0,500,0,False
202604,Airplane,LIHUE ARPT,< 1000 ft,DC-9-50,2 to 10,9,None,2000-02-11T00:00:00,No damage,2,HAWAIIAN AIR,Hawaii (United States),Take-off run,None,False,False,FLT 138.,Small,No Cloud,Black-headed munia,True,0,0,0,False
201044,Airplane,PHOENIX SKY HARBOR,< 1000 ft,B-737,2 to 10,9,None,2000-02-12T00:00:00,No damage,2,AMERICA WEST AIRLINES,Arizona (United States),Landing Roll,None,False,False,5 BIRD REMOVED FROM RWY 8L/26R AT A-2 INSN,Small,Overcast,Rock pigeon,False,0,0,0,True
202254,Airplane,NASHVILLE INTL,< 1000 ft,B-737-400,2 to 10,5,None,2000-02-18T00:00:00,No damage,2,US AIRWAYS*,Tennessee (United States),Climb,None,False,False,"SML, STARLING TYPE BIRDS HIT F/O WINDSHLD & UNDERSIDE OF RADOME",Small,Some Cloud,European starling,False,0,800,0,True
205346,Airplane,JIM HAMILTON L B OWENS ARPT,< 1000 ft,C-560,2 to 10,6,None,2000-02-23T00:00:00,Caused damage,2,BUSINESS,South Carolina (United States),Climb,None,False,False,"LE RT WING DENTED, BASEBALL SIZE.",Small,Some Cloud,Rock pigeon,False,0,500,0,False
201610,Airplane,CHICAGO O'HARE INTL ARPT,> 1000 ft,B-737-300,2 to 10,7,None,2000-02-25T00:00:00,No damage,2,UNITED AIRLINES,Illinois (United States),Climb,Fog,False,False,FLT 580 ORD-MBS,Medium,Overcast,Unknown bird - medium,False,0,5000,0,True
202454,Airplane,WASHINGTON DULLES INTL ARPT,> 1000 ft,B-737-200,2 to 10,7,Precautionary Landing,2000-02-29T00:00:00,No damage,2,DELTA AIR LINES,DC (United States),Climb,None,False,False,FLT 2307 INGESTED A BIRD. SMELL OF BURNING IN COCKPIT.BIRD ID BY  WS BIOL.  ONE REPT SAYS BIRD WAS STUCK IN THE FLAP. A/C LEFT 2  HRS LATER AFTER INSPN.,Medium,No Cloud,Ring-billed gull,True,0,1500,0,True
201013,Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,B-737-400,2 to 10,4,None,2000-02-29T00:00:00,No damage,2,AIR TRANSAT,Florida (United States),Landing Roll,None,False,False,FLT 522,Large,Some Cloud,Sandhill crane,True,0,0,0,True
205771,Airplane,ABERDEEN REGIONAL AR,> 1000 ft,SAAB-340,2 to 10,8,None,2000-03-04T00:00:00,No damage,2,MESABA AIRLINES,South Dakota (United States),Climb,None,False,False,HEARD 2 THUMPS. FOUND STRIKES ON POST FLT INSPN. TIME LOST 30  MINS.,Small,Some Cloud,Unknown bird - small,False,0,2000,0,False
202226,Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,MD-82,2 to 10,5,None,2000-03-06T00:00:00,No damage,2,CONTINENTAL AIRLINES,New Jersey (United States),Landing Roll,None,False,False,"# BIRDS STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.",Small,No Cloud,Unknown bird - small,True,0,0,0,False
204404,Airplane,ASPEN-PITKIN CO/SARD,< 1000 ft,HAWKER 800,2 to 10,3,None,2000-03-06T00:00:00,No damage,2,EXECUTIVE JET AVIATION,Colorado (United States),Approach,None,False,False,"SAW SML FLOCK FLYING UPON LDG FLARE, ACROSS RWY. SMALL THUMP WAS  HEARD. FOUND REMAINS ON L NEG INTAKE NACELLE. IRD PARTS STREAKED  DOWN IN AND OUTSIDE OF ENG. ALSO ON MIDPOINT OF L FLAP. NO 2NDRY DMG.",Small,No Cloud,Unknown bird - small,False,8600,20,0,False
202138,Airplane,ROCHESTER INTL,< 1000 ft,FOKKER F28 MK 1000,2 to 10,4,Precautionary Landing,2000-03-06T00:00:00,No damage,2,AMERICAN AIRLINES,Minnesota (United States),Climb,None,False,False,FLT 1788. ABOUT 20-30 BIRDS CROSSED FLT PATH JUST AFTER ROTATION  PRIOR TO GEAR RETRACT. NOTIFIED TWR OF INTENTION TO RET TO RST.  NO PROBLEMS OR DMG INDICATED. A LOUD HTUMP WAS HEARD OVERHEAD ON  FUSELAGE. POST FLT FOUND REMAINS ON UPPER FUSELAGE AFT OF,Small,No Cloud,Unknown bird - small,False,0,200,0,False
201983,Airplane,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,B-757-200,2 to 10,4,None,2000-03-07T00:00:00,No damage,2,NORTHWEST AIRLINES,Minnesota (United States),Approach,Rain,False,False,,Small,Overcast,Unknown bird - small,False,0,75,0,True
200247,Airplane,PUEBLO MEMORIAL ARPT,< 1000 ft,HAWKER 800,2 to 10,5,None,2000-03-11T00:00:00,No damage,2,BUSINESS,Colorado (United States),Approach,None,False,False,PILOT SAW ABOUT 30 BIRDS WHILE FLARING OUT. HEARD A COUPLE OF  POPS. 1 DEAD MEADOWLARK WAS FOUND ON RWY.,Small,No Cloud,Western meadowlark,False,0,10,0,False
201387,Airplane,WESTCHESTER COUNTY ARPT,< 1000 ft,EMB-135,2 to 10,5,None,2000-03-13T00:00:00,No damage,2,CONTINENTAL AIRLINES,New York (United States),Climb,None,False,False,2 BIRD HIT. CONTD TO KCLE. UNKN WHAT PART WAS STRUCK.,Medium,No Cloud,Ring-billed gull,True,0,10,0,False
200542,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,> 1000 ft,DC-9-40,2 to 10,6,None,2000-03-13T00:00:00,No damage,2,ABX AIR,Alabama (United States),Descent,None,False,False,HIT BIRDS BETWEEN 4000-6000 FT DURING DESCENT. FOUND 3 DIFFERENT  BLOOD STAINS ON RT WING AND FEATHERS ON #2 ENG INTAKE AND ON  STARTER.INSPN FOUND NO DMG.  (REPORTS DIFFER AS TO DATE OF STRIKE  3/13 OR 3/14),Small,No Cloud,Unknown bird - small,False,0,5000,0,False
202076,Airplane,ATLANTA INTL,< 1000 ft,DC-9-30,2 to 10,8,None,2000-03-14T00:00:00,No damage,2,AIRTRAN AIRWAYS,Georgia (United States),Approach,None,False,False,"BIRDS HIT BOTH MAIN GEAR, L WING & LWR FUSELAGE. DEBRIS FROM L  WING ENTERED #1 ENG BUT NO ABNORMAL INDICATIONS NOTED.",Medium,No Cloud,Mallard,False,0,1000,0,False
204836,Airplane,LAGUARDIA NY,> 1000 ft,B-727-200,2 to 10,10,None,2000-03-15T00:00:00,Caused damage,3,DELTA AIR LINES,New York (United States),Approach,None,False,False,"SAW FLASH IN LIGHTS ON RT SIDE, FOLLOWED BY LOUD THUMP. ALL A/C INDICATIONS NORMAL. DAMAGE FOUND ON POST FLT INSPN. TO RT OTBD LIGHTS, WING, FUSELAGE AND ANTENNA.",Medium,No Cloud,Unknown bird - medium,False,0,1300,0,False
203390,Airplane,TAHITI FAAA,< 1000 ft,DC-10-30,2 to 10,7,None,2000-03-15T00:00:00,Caused damage,3,HAWAIIAN AIR,nan (United States),Landing Roll,None,False,False,SEABIRD HIT F/O WINDSHLD AS NOSE CONTACTED RWY. ALSO F/O WIP. UNSEEN BIRDS STRUCK & DESTROYED UPPER ROTATING BEACON. #2 ENG ALSO INGESTED FOD CAUSING BLADE DAMAGE.,Medium,Some Cloud,Unknown bird - medium,False,0,0,0,True
203936,Airplane,ORLANDO INTL,< 1000 ft,SAAB-340,2 to 10,9,Aborted Take-off,2000-03-18T00:00:00,No damage,2,AMERICAN EAGLE AIRLINES,Florida (United States),Take-off run,None,False,False,"(BIRD REPTD AS GULL, ASSUME RING-BILLED BASED ON ARPT REPT)",Medium,Some Cloud,Ring-billed gull,True,0,0,0,False
203938,Airplane,MYRTLE BEACH INTL,< 1000 ft,B-737,2 to 10,8,None,2000-03-22T00:00:00,Caused damage,2,US AIRWAYS*,South Carolina (United States),Landing Roll,None,True,False,FLT 2151. PILOT REPTD BIRD STRIKE AFTER LDG. BIRDS WERE IDENTIFIED AS TURKEY VULTURES AFTER RWY CHECK.,Large,Some Cloud,Turkey vulture,False,0,0,0,True
