id,name,parentlayerid,defaultvisibility,sublayerids,minscale,maxscale
28,Na_Sodium_Ap_AquaRegia,0,False,,False,False
29,Nb_Niobium_Ap_AquaRegia,0,False,,False,False
30,Ni_Nickel_Ap_AquaRegia,0,False,,False,False
31,P_Phosphorus_Ap_AquaRegia,0,False,,False,False
32,Pb_Lead_Ap_AquaRegia,0,False,,False,False
33,Pd_Palladium_Ap_AquaRegia,0,False,,False,False
34,Pt_Platinum_Ap_AquaRegia,0,False,,False,False
35,Rb_Rubidium_Ap_AquaRegia,0,False,,False,False
36,Re_Rhenium_Ap_AquaRegia,0,False,,False,False
37,S_Sulphur_Ap_AquaRegia,0,False,,False,False
38,Sb_Antimony_Ap_AquaRegia,0,False,,False,False
39,Sc_Scandium_Ap_AquaRegia,0,False,,False,False
40,Se_Selenium_Ap_AquaRegia,0,False,,False,False
41,Sn_Tin_Ap_AquaRegia,0,False,,False,False
42,Sr_Strontium_Ap_AquaRegia,0,False,,False,False
43,Ta_Tantalum_Ap_AquaRegia,0,False,,False,False
44,Te_Tellurium_Ap_AquaRegia,0,False,,False,False
45,Th_Thorium_Ap_AquaRegia,0,False,,False,False
46,Ti_Titanium_Ap_AquaRegia,0,False,,False,False
47,Tl_Thallium_Ap_AquaRegia,0,False,,False,False
48,U_Uranium_Ap_AquaRegia,0,False,,False,False
49,V_Vanadium_Ap_AquaRegia,0,False,,False,False
50,W_Tungsten_Ap_AquaRegia,0,False,,False,False
51,Y_Yttrium_Ap_AquaRegia,0,False,,False,False
52,Zn_Zinc_Ap_AquaRegia,0,False,,False,False
53,Zr_Zirconium_Ap_AquaRegia,0,False,,False,False
54,Aqua regia for Grazing Land_Gr Samples,-1,False,"[55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107]",False,False
55,Ag_Silver_Gr_AquaRegia ,54,True,,False,False
56,Al_Alluminium_Gr_AquaRegia  ,54,False,,False,False
57,As_Arsenic_Gr_AquaRegia  mg/kg,54,False,,False,False
58,Au_Gold_Gr_AquaRegia  mg/kg,54,False,,False,False
59,B_Boron_Gr_AquaRegia  mg/kg,54,False,,False,False
60,Ba_Barium_Gr_AquaRegia  mg/kg,54,False,,False,False
61,Be_Berillium_Gr_AquaRegia  mg/kg,54,False,,False,False
62,Bi_Bismuth_Gr_AquaRegia  mg/kg,54,False,,False,False
63,Ca_Calcium_Gr_AquaRegia  mg/kg,54,False,,False,False
64,Cd_Cadmium_Gr_AquaRegia  mg/kg,54,False,,False,False
65,Ce_Cerium_Gr_AquaRegia  mg/kg,54,False,,False,False
66,Co_Cobalt_Gr_AquaRegia  mg/kg,54,False,,False,False
67,Cr_Chromium_Gr_AquaRegia  mg/kg,54,False,,False,False
68,Cs_Caesium_Gr_AquaRegia  mg/kg,54,False,,False,False
69,Cu_Copper_Gr_AquaRegia  mg/kg,54,False,,False,False
70,Fe_Iron_Gr_AquaRegia  mg/kg,54,False,,False,False
71,Ga_Gallium_Gr_AquaRegia  mg/kg,54,False,,False,False
72,Ge_Germanium_GR_AquaRegia  mg/kg,54,False,,False,False
73,Hf_Hafnium_Gr_AquaRegia  mg/kg,54,False,,False,False
74,Hg_Mercury_Gr_AquaRegia  mg/kg,54,False,,False,False
75,In_Indium_Gr_AquaRegia  mg/kg,54,False,,False,False
76,K_Potassium_Gr_AquaRegia  mg/kg,54,False,,False,False
77,La_Lanthanum_Gr_AquaRegia  mg/kg,54,False,,False,False
78,Li_Lithium_GR_AquaRegia  mg/kg,54,False,,False,False
79,Mg_Magnesium_Gr_AquaRegia  mg/kg,54,False,,False,False
80,Mn_Manganese_Gr_AquaRegia  mg/kg,54,False,,False,False
81,Mo_Molybdenum_Gr_AquaRegia  mg/kg,54,False,,False,False
82,Na_Sodium_Gr_AquaRegia  mg/kg,54,False,,False,False
83,Nb_Niobium_Gr_AquaRegia  mg/kg,54,False,,False,False
84,Ni_Nickel_Gr_AquaRegia  mg/kg,54,False,,False,False
85,P_Potassium_Gr_AquaRegia  mg/kg,54,False,,False,False
86,Pb_Lead_Gr_AquaRegia  mg/kg,54,False,,False,False
87,Pd_Palladium_Gr_AquaRegia  mg/kg,54,False,,False,False
88,Pt_Platinum_Gr_AquaRegia  mg/kg,54,False,,False,False
89,Rb_Rubidium_Gr_AquaRegia  mg/kg,54,False,,False,False
90,Re_Rhenium_Gr_AquaRegia  mg/kg,54,False,,False,False
91,S_Sulphur_Gr_AquaRegia  mg/kg,54,False,,False,False
92,Sb_Antimony_Gr_AquaRegia  mg/kg,54,False,,False,False
93,Sc_Scandium_Gr_AquaRegia  mg/kg,54,False,,False,False
94,Se_Selenium_Gr_GEMAS_AquaRegia,54,False,,False,False
95,Sr_Strontium_Gr_GEMAS_AquaRegia,54,False,,False,False
96,Ta_Tantalum_Gr_GEMAS_AquaRegia,54,False,,False,False
97,Sn_Tin_Gr_AquaRegia  mg/kg,54,False,,False,False
98,Te_Tellurium_Gr_AquaRegia  mg/kg,54,False,,False,False
