species,state,hucname,common_name,dataset,station_date,site_id,year,month,ecoregl3,lat_dd,lon_dd,huc,bighuc,fe,mn,tp,ca,so4,no3,cl,alk,do,temp,rbpscore,genus,abund,sumcount,ws_area,lwskm2,num,mg,na,k,hco3,tn,al,se,cadmium,calcium,yearmonth
Etheostoma caeruleum,OH,50400041002,Rainbow Darter,OH,201309_41501,201309,2013,8,70,39.483973,-81.792357,504,500,,,,3595.649264,659.7666962,50.0,270.7795065,3636.817784,,,,"Etheostoma,Etheostoma caeruleum",11.0,323.0,31.0,1.491361694,1.0,1152.023488,347.9808628,51.15310611,3638.329109,50.0,,,,,2013-08
Etheostoma flabellare,OH,50400041002,Fantail Darter,OH,201309_41501,201309,2013,8,70,39.483973,-81.792357,504,500,,,,3595.649264,659.7666962,50.0,270.7795065,3636.817784,,,,"Etheostoma,Etheostoma flabellare",10.0,323.0,31.0,1.491361694,1.0,1152.023488,347.9808628,51.15310611,3638.329109,50.0,,,,,2013-08
Chrosomus cumberlandensis,KY,Cumberland,,KYDO,DOW02046003_2000_1,DOW02046003,2000,7,69,37.07314,-82.75199,513,500,,,11.0,,,197.0,,,7.2,18.9,170.0,"Chrosomus,Chrosomus cumberlandensis",3.0,102.0,6.1,0.785329835,,,,,,367.0,,,,,2000-07
Etheostoma caeruleum,KY,Cumberland,,KYDO,DOW02046003_2000_1,DOW02046003,2000,7,69,37.07314,-82.75199,513,500,,,11.0,,,197.0,,,7.2,18.9,170.0,"Etheostoma,Etheostoma caeruleum",10.0,102.0,6.1,0.785329835,,,,,,367.0,,,,,2000-07
Etheostoma kennicotti,KY,Cumberland,,KYDO,DOW02046003_2000_1,DOW02046003,2000,7,69,37.07314,-82.75199,513,500,,,11.0,,,197.0,,,7.2,18.9,170.0,"Etheostoma,Etheostoma kennicotti",6.0,102.0,6.1,0.785329835,,,,,,367.0,,,,,2000-07
Etheostoma nigrum,KY,Cumberland,,KYDO,DOW02046003_2000_1,DOW02046003,2000,7,69,37.07314,-82.75199,513,500,,,11.0,,,197.0,,,7.2,18.9,170.0,"Etheostoma,Etheostoma nigrum",9.0,102.0,6.1,0.785329835,,,,,,367.0,,,,,2000-07
Lepomis auritus,KY,Cumberland,,KYDO,DOW02046003_2000_1,DOW02046003,2000,7,69,37.07314,-82.75199,513,500,,,11.0,,,197.0,,,7.2,18.9,170.0,"Lepomis,Lepomis auritus",1.0,102.0,6.1,0.785329835,,,,,,367.0,,,,,2000-07
Lepomis macrochirus,KY,Cumberland,,KYDO,DOW02046003_2000_1,DOW02046003,2000,7,69,37.07314,-82.75199,513,500,,,11.0,,,197.0,,,7.2,18.9,170.0,"Lepomis,Lepomis macrochirus",3.0,102.0,6.1,0.785329835,,,,,,367.0,,,,,2000-07
Pimephales notatus,KY,Cumberland,,KYDO,DOW02046003_2000_1,DOW02046003,2000,7,69,37.07314,-82.75199,513,500,,,11.0,,,197.0,,,7.2,18.9,170.0,"Pimephales,Pimephales notatus",1.0,102.0,6.1,0.785329835,,,,,,367.0,,,,,2000-07
Rhinichthys atratulus,KY,Cumberland,,KYDO,DOW02046003_2000_1,DOW02046003,2000,7,69,37.07314,-82.75199,513,500,,,11.0,,,197.0,,,7.2,18.9,170.0,"Rhinichthys,Rhinichthys atratulus",10.0,102.0,6.1,0.785329835,,,,,,367.0,,,,,2000-07
Semotilus atromaculatus,KY,Cumberland,,KYDO,DOW02046003_2000_1,DOW02046003,2000,7,69,37.07314,-82.75199,513,500,,,11.0,,,197.0,,,7.2,18.9,170.0,"Semotilus,Semotilus atromaculatus",58.0,102.0,6.1,0.785329835,,,,,,367.0,,,,,2000-07
Micropterus punctulatus,KY,Kentucky,,KYDO,DOW05039001_1999_1,DOW05039001,1999,7,70,37.95569,-83.27561,510,500,,,,,,,,,5.16,23.4,97.0,"Micropterus,Micropterus punctulatus",1.0,455.0,70.4,1.847572659,,,,,,,,,,,1999-07
Moxostoma erythrurum,KY,Kentucky,,KYDO,DOW05039001_1999_1,DOW05039001,1999,7,70,37.95569,-83.27561,510,500,,,,,,,,,5.16,23.4,97.0,"Moxostoma,Moxostoma erythrurum",9.0,455.0,70.4,1.847572659,,,,,,,,,,,1999-07
Notropis buccatus,KY,Kentucky,,KYDO,DOW05039001_1999_1,DOW05039001,1999,7,70,37.95569,-83.27561,510,500,,,,,,,,,5.16,23.4,97.0,"Notropis,Notropis buccatus",48.0,455.0,70.4,1.847572659,,,,,,,,,,,1999-07
Notropis leuciodus,KY,Kentucky,,KYDO,DOW05039001_1999_1,DOW05039001,1999,7,70,37.95569,-83.27561,510,500,,,,,,,,,5.16,23.4,97.0,"Notropis,Notropis leuciodus",7.0,455.0,70.4,1.847572659,,,,,,,,,,,1999-07
Notropis photogenis,KY,Kentucky,,KYDO,DOW05039001_1999_1,DOW05039001,1999,7,70,37.95569,-83.27561,510,500,,,,,,,,,5.16,23.4,97.0,"Notropis,Notropis photogenis",69.0,455.0,70.4,1.847572659,,,,,,,,,,,1999-07
Noturus miurus,KY,Kentucky,,KYDO,DOW05039001_1999_1,DOW05039001,1999,7,70,37.95569,-83.27561,510,500,,,,,,,,,5.16,23.4,97.0,"Noturus,Noturus miurus",3.0,455.0,70.4,1.847572659,,,,,,,,,,,1999-07
Pimephales notatus,KY,Kentucky,,KYDO,DOW05039001_1999_1,DOW05039001,1999,7,70,37.95569,-83.27561,510,500,,,,,,,,,5.16,23.4,97.0,"Pimephales,Pimephales notatus",8.0,455.0,70.4,1.847572659,,,,,,,,,,,1999-07
Rhinichthys atratulus,KY,Kentucky,,KYDO,DOW05039001_1999_1,DOW05039001,1999,7,70,37.95569,-83.27561,510,500,,,,,,,,,5.16,23.4,97.0,"Rhinichthys,Rhinichthys atratulus",4.0,455.0,70.4,1.847572659,,,,,,,,,,,1999-07
Semotilus atromaculatus,KY,Kentucky,,KYDO,DOW05039001_1999_1,DOW05039001,1999,7,70,37.95569,-83.27561,510,500,,,,,,,,,5.16,23.4,97.0,"Semotilus,Semotilus atromaculatus",153.0,455.0,70.4,1.847572659,,,,,,,,,,,1999-07
Etheostoma nigrum,KY,Kentucky,,KYDO,DOW05039002_2004_1,DOW05039002,2004,4,70,37.9033,-83.09639,510,500,,,,,,,,,10.0,15.1,47.0,"Etheostoma,Etheostoma nigrum",6.0,81.0,4.2,0.62324929,,,,,,,,,,,2004-04
Lampetra aepyptera,KY,Kentucky,,KYDO,DOW05039002_2004_1,DOW05039002,2004,4,70,37.9033,-83.09639,510,500,,,,,,,,,10.0,15.1,47.0,"Lampetra,Lampetra aepyptera",4.0,81.0,4.2,0.62324929,,,,,,,,,,,2004-04
Lepomis megalotis,KY,Kentucky,,KYDO,DOW05039002_2004_1,DOW05039002,2004,4,70,37.9033,-83.09639,510,500,,,,,,,,,10.0,15.1,47.0,"Lepomis,Lepomis megalotis",1.0,81.0,4.2,0.62324929,,,,,,,,,,,2004-04
Luxilus chrysocephalus,KY,Kentucky,,KYDO,DOW05039002_2004_1,DOW05039002,2004,4,70,37.9033,-83.09639,510,500,,,,,,,,,10.0,15.1,47.0,"Luxilus,Luxilus chrysocephalus",14.0,81.0,4.2,0.62324929,,,,,,,,,,,2004-04
Notropis buccatus,KY,Kentucky,,KYDO,DOW05039002_2004_1,DOW05039002,2004,4,70,37.9033,-83.09639,510,500,,,,,,,,,10.0,15.1,47.0,"Notropis,Notropis buccatus",6.0,81.0,4.2,0.62324929,,,,,,,,,,,2004-04
Pimephales notatus,KY,Kentucky,,KYDO,DOW05039002_2004_1,DOW05039002,2004,4,70,37.9033,-83.09639,510,500,,,,,,,,,10.0,15.1,47.0,"Pimephales,Pimephales notatus",13.0,81.0,4.2,0.62324929,,,,,,,,,,,2004-04
Semotilus atromaculatus,KY,Kentucky,,KYDO,DOW05039002_2004_1,DOW05039002,2004,4,70,37.9033,-83.09639,510,500,,,,,,,,,10.0,15.1,47.0,"Semotilus,Semotilus atromaculatus",37.0,81.0,4.2,0.62324929,,,,,,,,,,,2004-04
Pimephales notatus,KY,Middle Ohio,,KYDO,DOW06013010_2002_1,DOW06013010,2002,6,70,38.12808,-83.11836,509,500,,,5.0,,164.6193125,54.0,167.5448196,,,,122.0,"Pimephales,Pimephales notatus",23.0,273.0,22.8,1.357934847,,,,,0.0,537.0,,,,,2002-06
Rhinichthys atratulus,KY,Middle Ohio,,KYDO,DOW06013010_2002_1,DOW06013010,2002,6,70,38.12808,-83.11836,509,500,,,5.0,,164.6193125,54.0,167.5448196,,,,122.0,"Rhinichthys,Rhinichthys atratulus",1.0,273.0,22.8,1.357934847,,,,,0.0,537.0,,,,,2002-06
Semotilus atromaculatus,KY,Middle Ohio,,KYDO,DOW06013010_2002_1,DOW06013010,2002,6,70,38.12808,-83.11836,509,500,,,5.0,,164.6193125,54.0,167.5448196,,,,122.0,"Semotilus,Semotilus atromaculatus",39.0,273.0,22.8,1.357934847,,,,,0.0,537.0,,,,,2002-06
Ambloplites rupestris,KY,Middle Ohio,,KYDO,DOW06013011_2002_1,DOW06013011,2002,7,70,38.0733,-83.0553,509,500,1700.0,436.0,5.0,2038.553361,1751.497907,166.0,,1546.841391,6.66,23.9,117.0,"Ambloplites,Ambloplites rupestris",2.0,117.0,15.0,1.176091259,,1628.878925,33.92813412,110.7464747,1545.337869,611.0,483.0,2.0,,,2002-07
Catostomus commersonii,KY,Middle Ohio,,KYDO,DOW06013012_2002_1,DOW06013012,2002,4,70,38.1089,-83.0525,509,500,228.0,49.0,26.0,453.5656623,563.0582228,165.0,,313.764985,10.3,7.4,152.0,"Catostomus,Catostomus commersonii",9.0,126.0,3.0,0.477121255,,400.6408542,4.349760785,45.78202996,312.9003739,265.0,257.0,2.0,,,2002-04
Notropis photogenis,KY,Middle Ohio,,KYDO,DOW08095901_1999_1,DOW08095901,1999,7,70,38.4969,-83.2575,509,500,,,,,,,,,5.0,26.3,163.0,"Notropis,Notropis photogenis",2.0,417.0,178.2,2.2509077,,,,,,,,,,,1999-07
Notropis rubellus,KY,Middle Ohio,,KYDO,DOW08095901_1999_1,DOW08095901,1999,7,70,38.4969,-83.2575,509,500,,,,,,,,,5.0,26.3,163.0,"Notropis,Notropis rubellus",10.0,417.0,178.2,2.2509077,,,,,,,,,,,1999-07
Percina caprodes,KY,Middle Ohio,,KYDO,DOW08095901_1999_1,DOW08095901,1999,7,70,38.4969,-83.2575,509,500,,,,,,,,,5.0,26.3,163.0,"Percina,Percina caprodes",1.0,417.0,178.2,2.2509077,,,,,,,,,,,1999-07
Pimephales notatus,KY,Middle Ohio,,KYDO,DOW08095901_1999_1,DOW08095901,1999,7,70,38.4969,-83.2575,509,500,,,,,,,,,5.0,26.3,163.0,"Pimephales,Pimephales notatus",1.0,417.0,178.2,2.2509077,,,,,,,,,,,1999-07
Sander vitreus,KY,Middle Ohio,,KYDO,DOW11004900_2002_1,DOW11004900,2002,6,70,38.5644,-82.9519,509,500,,,11.0,,,260.0,,,6.25,25.52,137.0,"Sander,Sander vitreus",1.0,1.0,242.0,2.383815366,,,,,,702.0,,,,,2002-06
Ambloplites rupestris,KY,Big Sandy,,KYDO,EFD01003501_2002_1,EFD01003501,2002,8,70,38.17762,-82.72656,507,500,,,,,,,,,5.35,28.8,117.0,"Ambloplites,Ambloplites rupestris",9.0,178.0,18.597,1.269442891,,,,,,,,,,,2002-08
Ameiurus natalis,KY,Big Sandy,,KYDO,EFD01003501_2002_1,EFD01003501,2002,8,70,38.17762,-82.72656,507,500,,,,,,,,,5.35,28.8,117.0,"Ameiurus,Ameiurus natalis",1.0,178.0,18.597,1.269442891,,,,,,,,,,,2002-08
Campostoma anomalum,KY,Big Sandy,,KYDO,EFD01003501_2002_1,EFD01003501,2002,8,70,38.17762,-82.72656,507,500,,,,,,,,,5.35,28.8,117.0,"Campostoma,Campostoma anomalum",23.0,178.0,18.597,1.269442891,,,,,,,,,,,2002-08
Nocomis micropogon,WV,Kanawha,,WVDE,KE-00089-9.3_2009_1,KE-00089-9.3,2009,8,69,38.3485,-81.13002777,505,500,130.0,9.0,20.0,862.2731824,214.9077186,328.0,141.030993,859.3563286,8.36,22.35,140.0,"Nocomis,Nocomis micropogon",3.0,294.0,12.051966,1.081057898,,361.9740087,,,855.8500404,928.0,20.0,1.0,,,2009-08
Notropis buccatus,WV,Kanawha,,WVDE,KE-00089-9.3_2009_1,KE-00089-9.3,2009,8,69,38.3485,-81.13002777,505,500,130.0,9.0,20.0,862.2731824,214.9077186,328.0,141.030993,859.3563286,8.36,22.35,140.0,"Notropis,Notropis buccatus",1.0,294.0,12.051966,1.081057898,,361.9740087,,,855.8500404,928.0,20.0,1.0,,,2009-08
Rhinichthys atratulus,WV,Kanawha,,WVDE,KE-00089-9.3_2009_1,KE-00089-9.3,2009,8,69,38.3485,-81.13002777,505,500,130.0,9.0,20.0,862.2731824,214.9077186,328.0,141.030993,859.3563286,8.36,22.35,140.0,"Rhinichthys,Rhinichthys atratulus",57.0,294.0,12.051966,1.081057898,,361.9740087,,,855.8500404,928.0,20.0,1.0,,,2009-08
Semotilus atromaculatus,WV,Kanawha,,WVDE,KE-00089-9.3_2009_1,KE-00089-9.3,2009,8,69,38.3485,-81.13002777,505,500,130.0,9.0,20.0,862.2731824,214.9077186,328.0,141.030993,859.3563286,8.36,22.35,140.0,"Semotilus,Semotilus atromaculatus",49.0,294.0,12.051966,1.081057898,,361.9740087,,,855.8500404,928.0,20.0,1.0,,,2009-08
Ambloplites rupestris,WV,Kanawha,,WVDE,KE-00130-0.89_2009_1,KE-00130-0.89,2009,8,69,38.38725,-81.56016666,505,500,710.0,23.0,20.0,922.0840388,343.8523498,181.0,282.0619859,839.3712977,8.92,22.16,137.0,"Ambloplites,Ambloplites rupestris",2.0,380.0,20.906802,1.320287606,,460.6941929,,,834.4635416,781.0,40.0,1.0,,,2009-08
Campostoma anomalum,WV,Potomac,,MAIA,MAIA97-018_1997_1,MAIA97-018,1997,8,67,39.086525,-79.159811,207,207,,,6.0,1965.72737,1105.426824,1378.946443,116.6875637,1906.218039,3.6,18.7,127.0,"Campostoma,Campostoma anomalum",123.0,418.0,49.418,1.693885165,,868.2965605,263.5085083,62.66255498,1903.392683,794.0,16.0,,,,1997-08
Catostomus commersonii,WV,Potomac,,MAIA,MAIA97-018_1997_1,MAIA97-018,1997,8,67,39.086525,-79.159811,207,207,,,6.0,1965.72737,1105.426824,1378.946443,116.6875637,1906.218039,3.6,18.7,127.0,"Catostomus,Catostomus commersonii",4.0,418.0,49.418,1.693885165,,868.2965605,263.5085083,62.66255498,1903.392683,794.0,16.0,,,,1997-08
Etheostoma blennioides,WV,Upper Ohio,,MAIA,MAIA97-024_1997_1,MAIA97-024,1997,8,70,39.073441,-80.964074,503,500,,,8.0,979.2004674,325.7159038,112.883256,187.1457543,997.3345423,6.8,25.0,134.0,"Etheostoma,Etheostoma blennioides",11.0,485.0,31.0569,1.492158104,,421.220931,277.6452309,59.84913414,991.3362096,223.0,11.0,,,,1997-08
Etheostoma flabellare,WV,Upper Ohio,,MAIA,MAIA97-024_1997_1,MAIA97-024,1997,8,70,39.073441,-80.964074,503,500,,,8.0,979.2004674,325.7159038,112.883256,187.1457543,997.3345423,6.8,25.0,134.0,"Etheostoma,Etheostoma flabellare",26.0,485.0,31.0569,1.492158104,,421.220931,277.6452309,59.84913414,991.3362096,223.0,11.0,,,,1997-08
Etheostoma nigrum,WV,Upper Ohio,,MAIA,MAIA97-024_1997_1,MAIA97-024,1997,8,70,39.073441,-80.964074,503,500,,,8.0,979.2004674,325.7159038,112.883256,187.1457543,997.3345423,6.8,25.0,134.0,"Etheostoma,Etheostoma nigrum",13.0,485.0,31.0569,1.492158104,,421.220931,277.6452309,59.84913414,991.3362096,223.0,11.0,,,,1997-08
Etheostoma zonale,WV,Upper Ohio,,MAIA,MAIA97-024_1997_1,MAIA97-024,1997,8,70,39.073441,-80.964074,503,500,,,8.0,979.2004674,325.7159038,112.883256,187.1457543,997.3345423,6.8,25.0,134.0,"Etheostoma,Etheostoma zonale",4.0,485.0,31.0569,1.492158104,,421.220931,277.6452309,59.84913414,991.3362096,223.0,11.0,,,,1997-08
Ictiobus bubalus,WV,Monongahela,,MAIA,MAIA97-027_1997_1,MAIA97-027,1997,7,69,38.968381,-80.153794,502,500,,,2.0,2232.020855,3818.243151,759.195232,157.2757688,,4.6,21.2,132.0,"Ictiobus,Ictiobus bubalus",11.0,439.0,37.9141,1.578800751,,1857.720162,185.8652783,67.26633453,0.0,491.0,18.0,,,,1997-07
Lepomis cyanellus,WV,Monongahela,,MAIA,MAIA97-027_1997_1,MAIA97-027,1997,7,69,38.968381,-80.153794,502,500,,,2.0,2232.020855,3818.243151,759.195232,157.2757688,,4.6,21.2,132.0,"Lepomis,Lepomis cyanellus",1.0,439.0,37.9141,1.578800751,,1857.720162,185.8652783,67.26633453,0.0,491.0,18.0,,,,1997-07
Luxilus chrysocephalus,WV,Monongahela,,MAIA,MAIA97-027_1997_1,MAIA97-027,1997,7,69,38.968381,-80.153794,502,500,,,2.0,2232.020855,3818.243151,759.195232,157.2757688,,4.6,21.2,132.0,"Luxilus,Luxilus chrysocephalus",78.0,439.0,37.9141,1.578800751,,1857.720162,185.8652783,67.26633453,0.0,491.0,18.0,,,,1997-07
Nocomis micropogon,WV,Monongahela,,MAIA,MAIA97-027_1997_1,MAIA97-027,1997,7,69,38.968381,-80.153794,502,500,,,2.0,2232.020855,3818.243151,759.195232,157.2757688,,4.6,21.2,132.0,"Nocomis,Nocomis micropogon",151.0,439.0,37.9141,1.578800751,,1857.720162,185.8652783,67.26633453,0.0,491.0,18.0,,,,1997-07
Notropis buccatus,WV,Monongahela,,MAIA,MAIA97-027_1997_1,MAIA97-027,1997,7,69,38.968381,-80.153794,502,500,,,2.0,2232.020855,3818.243151,759.195232,157.2757688,,4.6,21.2,132.0,"Notropis,Notropis buccatus",7.0,439.0,37.9141,1.578800751,,1857.720162,185.8652783,67.26633453,0.0,491.0,18.0,,,,1997-07
Pimephales notatus,WV,Monongahela,,MAIA,MAIA97-027_1997_1,MAIA97-027,1997,7,69,38.968381,-80.153794,502,500,,,2.0,2232.020855,3818.243151,759.195232,157.2757688,,4.6,21.2,132.0,"Pimephales,Pimephales notatus",2.0,439.0,37.9141,1.578800751,,1857.720162,185.8652783,67.26633453,0.0,491.0,18.0,,,,1997-07
Cottus bairdii,PA,Susquehanna,,MAIA,MAIA97-039_1997_1,MAIA97-039,1997,9,67,40.138262,-78.55219,205,205,,,54.0,1762.979495,998.8535084,2255.451725,216.3670054,1424.377869,8.8,16.3,132.0,"Cottus,Cottus bairdii",18.0,486.0,332.7213,2.522080604,,727.1901407,206.1786612,37.59753299,1412.699091,1209.0,5.0,,,,1997-09
Cyprinus carpio,PA,Susquehanna,,MAIA,MAIA97-039_1997_1,MAIA97-039,1997,9,67,40.138262,-78.55219,205,205,,,54.0,1762.979495,998.8535084,2255.451725,216.3670054,1424.377869,8.8,16.3,132.0,"Cyprinus,Cyprinus carpio",30.0,486.0,332.7213,2.522080604,,727.1901407,206.1786612,37.59753299,1412.699091,1209.0,5.0,,,,1997-09
Esox niger,PA,Susquehanna,,MAIA,MAIA97-039_1997_1,MAIA97-039,1997,9,67,40.138262,-78.55219,205,205,,,54.0,1762.979495,998.8535084,2255.451725,216.3670054,1424.377869,8.8,16.3,132.0,"Esox,Esox niger",3.0,486.0,332.7213,2.522080604,,727.1901407,206.1786612,37.59753299,1412.699091,1209.0,5.0,,,,1997-09
Campostoma anomalum,MD,Potomac,,MAIA,MAIA97-041_1997_1,MAIA97-041,1997,8,67,39.678314,-78.330321,207,207,,,5.0,715.2494482,227.9538527,112.883256,502.7691136,806.1206644,,21.9,158.0,"Campostoma,Campostoma anomalum",751.0,1583.0,249.5476,2.397153397,,414.8025144,484.389361,63.17408604,802.5809735,281.0,12.0,,,,1997-08
Catostomus commersonii,MD,Potomac,,MAIA,MAIA97-041_1997_1,MAIA97-041,1997,8,67,39.678314,-78.330321,207,207,,,5.0,715.2494482,227.9538527,112.883256,502.7691136,806.1206644,,21.9,158.0,"Catostomus,Catostomus commersonii",1.0,1583.0,249.5476,2.397153397,,414.8025144,484.389361,63.17408604,802.5809735,281.0,12.0,,,,1997-08
Pimephales notatus,PA,Allegheny,,MAIA,MAIA97-060_1997_2,MAIA97-060,1997,9,70,40.949301,-79.320308,501,500,,,2.0,1908.212363,2067.724331,1137.68615,575.8786533,840.4449507,8.3,20.5,166.0,"Pimephales,Pimephales notatus",4.0,130.0,1011.1347,3.004809015,,906.0664734,691.6119648,60.87219627,827.7975653,604.0,5.0,,,,1997-09
Rhinichthys cataractae,PA,Allegheny,,MAIA,MAIA97-060_1997_2,MAIA97-060,1997,9,70,40.949301,-79.320308,501,500,,,2.0,1908.212363,2067.724331,1137.68615,575.8786533,840.4449507,8.3,20.5,166.0,"Rhinichthys,Rhinichthys cataractae",2.0,130.0,1011.1347,3.004809015,,906.0664734,691.6119648,60.87219627,827.7975653,604.0,5.0,,,,1997-09
Lepomis macrochirus,PA,Delaware,,MAIA,MAIA97-085_1997_1,MAIA97-085,1997,8,67,40.712369,-75.910277,204,204,,,65.0,487.1331689,184.0479678,6432.132202,212.7848636,519.0048108,8.2,20.2,126.0,"Lepomis,Lepomis macrochirus",1.0,135.0,4.3934,0.642800746,,361.4967418,173.6424505,62.66255498,517.7603693,3318.0,24.0,,,,1997-08
Luxilus cornutus,PA,Delaware,,MAIA,MAIA97-085_1997_1,MAIA97-085,1997,8,67,40.712369,-75.910277,204,204,,,65.0,487.1331689,184.0479678,6432.132202,212.7848636,519.0048108,8.2,20.2,126.0,"Luxilus,Luxilus cornutus",7.0,135.0,4.3934,0.642800746,,361.4967418,173.6424505,62.66255498,517.7603693,3318.0,24.0,,,,1997-08
Rhinichthys atratulus,PA,Delaware,,MAIA,MAIA97-085_1997_1,MAIA97-085,1997,8,67,40.712369,-75.910277,204,204,,,65.0,487.1331689,184.0479678,6432.132202,212.7848636,519.0048108,8.2,20.2,126.0,"Rhinichthys,Rhinichthys atratulus",13.0,135.0,4.3934,0.642800746,,361.4967418,173.6424505,62.66255498,517.7603693,3318.0,24.0,,,,1997-08
Salmo trutta,PA,Delaware,,MAIA,MAIA97-085_1997_1,MAIA97-085,1997,8,67,40.712369,-75.910277,204,204,,,65.0,487.1331689,184.0479678,6432.132202,212.7848636,519.0048108,8.2,20.2,126.0,"Salmo,Salmo trutta",9.0,135.0,4.3934,0.642800746,,361.4967418,173.6424505,62.66255498,517.7603693,3318.0,24.0,,,,1997-08
Semotilus atromaculatus,PA,Delaware,,MAIA,MAIA97-085_1997_1,MAIA97-085,1997,8,67,40.712369,-75.910277,204,204,,,65.0,487.1331689,184.0479678,6432.132202,212.7848636,519.0048108,8.2,20.2,126.0,"Semotilus,Semotilus atromaculatus",19.0,135.0,4.3934,0.642800746,,361.4967418,173.6424505,62.66255498,517.7603693,3318.0,24.0,,,,1997-08
Semotilus corporalis,PA,Delaware,,MAIA,MAIA97-085_1997_1,MAIA97-085,1997,8,67,40.712369,-75.910277,204,204,,,65.0,487.1331689,184.0479678,6432.132202,212.7848636,519.0048108,8.2,20.2,126.0,"Semotilus,Semotilus corporalis",4.0,135.0,4.3934,0.642800746,,361.4967418,173.6424505,62.66255498,517.7603693,3318.0,24.0,,,,1997-08
